latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
50.93148,4.25587,77.0,0.0
50.93107,4.25656,77.0,0.066584618685048
50.93124,4.25671,78.0,0.08826124880848038
50.93133,4.25675,78.0,0.09866100673726744
50.93161,4.25682,78.0,0.13019687265227192
50.93195,4.25686,77.0,0.16813886986860513
50.93217,4.25699,76.0,0.19428329758695406
50.9333,4.2592,73.0,0.39415768856856703
50.93343,4.25941,73.0,0.41482402038984656
50.93365,4.25993,72.0,0.458827419719194
50.9339,4.26044,72.0,0.5042023949543218
50.93401,4.26055,72.0,0.5186781598346129
50.93427,4.26072,71.0,0.5499902493875216
50.93457,4.26085,72.0,0.5846077455368127
50.93532,4.26106,73.0,0.6693457430780879
50.93635,4.26141,72.0,0.7865473696634818
50.9365,4.26147,72.0,0.8037593681899939
50.93661,4.26154,72.0,0.8169489131987058
50.93674,4.26164,73.0,0.8330600915777281
50.93684,4.26177,72.0,0.8474916033396028
50.93706,4.26209,71.0,0.880747953195788
50.93738,4.2627,71.0,0.9364786878416503
50.93747,4.26285,71.0,0.9510190281027016
50.93766,4.26308,68.0,0.9777989050661242
50.93826,4.26358,68.0,1.053235405827978
50.93884,4.26385,64.0,1.1206114534860587
50.93888,4.26392,64.0,1.1272455797602707
50.93897,4.26407,65.0,1.1418200081505354
50.93908,4.26428,65.0,1.1609938987302606
50.93918,4.26463,65.0,1.1879938802516419
50.93927,4.26482,65.0,1.204685374847922
50.93948,4.26501,63.0,1.231669571277744
50.94006,4.26542,62.0,1.3023438401372467
50.94013,4.26546,61.0,1.3106833845580061
50.94032,4.26574,59.0,1.339633554512896
50.94036,4.26626,59.0,1.3764533678221695
50.94051,4.26759,59.0,1.4714143289762622
50.94062,4.26868,58.0,1.5490058148450632
50.94079,4.2692,56.0,1.5902070978682454
50.94084,4.26935,56.0,1.6021275862682562
50.94086,4.26954,56.0,1.6156662906590644
50.94081,4.27085,55.0,1.7079162322720918
50.94099,4.2719,54.0,1.7843929668869767
50.94109,4.27231,53.0,1.8152996666312557
50.94111,4.2725,53.0,1.8288382940411163
50.94116,4.27342,54.0,1.8937488838775145
50.94116,4.27402,54.0,1.9359210961484725
50.94118,4.2746,54.0,1.9767482313692297
50.94122,4.27503,53.0,2.0073138190659736
50.94126,4.27523,53.0,2.022058705805454
50.94135,4.27548,53.0,2.0422827324171324
50.94139,4.27566,53.0,2.0556941051249997
50.94141,4.27587,53.0,2.0706210552482873
50.94141,4.276,53.0,2.079758317477419
50.94135,4.27615,53.0,2.0922366575341553
50.9412,4.27639,53.0,2.1159647171988154
50.94109,4.27647,53.0,2.129432045479341
50.94096,4.27656,52.0,2.1452489031579973
50.94088,4.27664,52.0,2.155776259461896
50.9427,4.28072,49.0,2.506830389423653
50.94277,4.28098,49.0,2.526694474024533
50.94298,4.28173,49.0,2.5843527566134257
50.94322,4.28261,49.0,2.6517195282830324
50.94341,4.28334,47.0,2.707246072288256
50.94384,4.28287,49.0,2.7654142139423623
50.94423,4.28252,50.0,2.815299249827759
50.94693,4.28014,45.0,3.1591382749041568
50.94789,4.2793,42.0,3.2812027696894637
50.94798,4.27894,41.0,3.308429894809888
50.94809,4.27872,40.0,3.3281729517439196
50.9482,4.27834,40.0,3.3575482540195503
50.9483,4.27778,40.0,3.3984450792061573
50.94839,4.27746,40.0,3.4230615684101933
50.94852,4.27711,38.0,3.4516648292919614
50.94895,4.27613,37.0,3.53552427397584
50.94905,4.27608,37.0,3.547190785804487
50.94914,4.27613,37.0,3.5578017636478663
50.94938,4.27645,36.0,3.592724080741828
50.94955,4.2766,35.0,3.6143986063229825
50.94965,4.2766,35.0,3.6255233985763797
50.94985,4.27626,36.0,3.658187216765733
50.94998,4.27606,36.0,3.678353809444739
50.95066,4.27521,34.0,3.774762460520692
50.9509,4.27486,34.0,3.811063870874152
50.95096,4.27471,34.0,3.823540354816491
50.95109,4.2745,34.0,3.844202597303769
50.95116,4.27433,34.0,3.8584628442135065
50.95154,4.27347,35.0,3.932221303511597
50.95161,4.27338,35.0,3.9422533005301394
50.95176,4.27312,36.0,3.9670176238386747
50.95191,4.27295,37.0,3.987564402232474
50.95242,4.27261,37.0,4.049126164322465
50.95255,4.27248,37.0,4.066231891722233
50.95268,4.27233,38.0,4.084155542216354
50.95296,4.27177,38.0,4.134342918409529
50.95313,4.27147,38.0,4.162663670728239
50.95337,4.27113,38.0,4.198491879574709
50.9535,4.27104,37.0,4.214308054992992
50.9536,4.27094,37.0,4.227466222800517
50.95371,4.27074,37.0,4.246100995449523
50.95377,4.27074,37.0,4.252775877654654
50.95489,4.26956,33.0,4.402493957814665
50.95578,4.26867,31.0,4.519617383163631
50.95613,4.26836,30.0,4.564243923902087
50.95633,4.26821,30.0,4.588863583480919
50.95659,4.26808,30.0,4.619196075945627
50.95682,4.26802,29.0,4.645147359820682
50.95704,4.26797,28.0,4.6698929806970195
50.95741,4.26797,27.0,4.711066863052472
50.9576,4.2666,26.0,4.809624357901721
50.9576,4.2666,26.0,4.809624357901721
50.95766,4.26609,24.0,4.8461291166249545
50.95822,4.2627,22.0,5.092335829727478
50.95839,4.26162,22.0,5.170538761240763
50.95875,4.25952,20.0,5.323437466098481
50.95892,4.25855,20.0,5.394165045216194
50.95968,4.25883,21.0,5.480977706781034
50.95998,4.2589,21.0,5.514712491754865
50.96023,4.2589,20.0,5.542542431489198
50.96079,4.25894,20.0,5.604904592591443
50.9612,4.2589,19.0,5.650613652017898
50.96134,4.25885,19.0,5.666579590625453
50.96181,4.25881,19.0,5.718941556910025
50.96217,4.2587,19.0,5.7597296008275025
50.96239,4.2587,19.0,5.784204135781387
50.96268,4.25873,19.0,5.816534795477221
50.96373,4.25862,18.0,5.933604705547083
50.96405,4.25866,18.0,5.969314770959641
50.96341,4.25626,18.0,6.152337460715146
50.96319,4.25561,18.0,6.204147296466151
50.96306,4.25522,18.0,6.235128804244866
50.96302,4.25446,19.0,6.288716013533569
50.96298,4.25355,19.0,6.352801564330548
50.96292,4.25282,18.0,6.4045290349142245
50.9629,4.25262,18.0,6.4187548722235865
50.96307,4.25269,18.0,6.438295941844043
50.96414,4.25274,18.0,6.55738300487519
50.9659,4.25334,18.0,6.757664962101352
50.96697,4.25403,17.0,6.886194666162443
50.96714,4.25409,17.0,6.90557079634343
50.96734,4.25411,17.0,6.927864698970066
50.96931,4.25409,15.0,7.147036788111108
50.96946,4.25407,14.0,7.163812843997858
50.96959,4.25398,15.0,7.179628126121628
50.97002,4.25355,15.0,7.236202537156016
50.97013,4.25349,15.0,7.249145241965438
50.97025,4.25353,14.0,7.262824073958034
50.97047,4.25375,14.0,7.291769020580402
50.97073,4.25407,14.0,7.328400467290317
50.97085,4.2542,14.0,7.3445744986650645
50.9709,4.25422,14.0,7.350311556795545
50.97094,4.2542,14.0,7.354977961624722
50.97116,4.25403,14.0,7.382210158578684
50.97126,4.254,14.0,7.393532771348627
50.97135,4.25403,14.0,7.4037644346815625
50.97156,4.25413,13.0,7.428180091002072
50.97171,4.25418,13.0,7.445232856350223
50.97188,4.254,14.0,7.468003931020312
50.97214,4.25338,14.0,7.52028324297321
50.97259,4.2522,16.0,7.617132083467484
50.97281,4.25175,16.0,7.657107610875094
50.97259,4.25117,17.0,7.704643300977229
50.97242,4.25083,17.0,7.735106233808659
50.97409,4.24879,17.0,7.969726474367147
50.97405,4.24858,17.0,7.985132883177618
50.97405,4.24823,16.0,8.00973616716268
50.97409,4.248,16.0,8.02649235417739
50.97418,4.2478,16.0,8.04374272827759
50.97497,4.24641,18.0,8.175117160872714
50.97585,4.24463,21.0,8.333933601029313
50.97504,4.24373,21.0,8.444004871056785
50.97485,4.24351,21.0,8.470187670841005
50.97564,4.24186,22.0,8.615635359628746
50.97714,4.23884,27.0,8.88556142315336
50.97761,4.23952,27.0,8.956376044064594
50.98,4.243,26.0,9.317522148093158
50.98356,4.24817,21.0,9.854823214467434
50.98418,4.24907,19.0,9.948394834185452
50.98572,4.24675,22.0,10.184828001683304
50.98669,4.24523,20.0,10.33661925934793
50.98697,4.24489,20.0,10.375865456328262
50.98736,4.24431,19.0,10.435380394608137
50.98744,4.24409,19.0,10.453208452515105
50.98806,4.24205,21.0,10.61220378664637
50.98817,4.24188,21.0,10.6292987209571
50.98901,4.24081,21.0,10.749203681569211
50.98929,4.24055,22.0,10.785322464194515
50.98982,4.24012,21.0,10.851572213352842
50.99014,4.23987,21.0,10.891264045542021
50.99046,4.23961,20.0,10.9312837804347
50.9908,4.2393,20.0,10.97492364423032
50.99104,4.23895,20.0,11.011210756928662
50.99125,4.23864,20.0,11.043140802619215
50.99222,4.23744,19.0,11.180050473083915
50.99228,4.23743,19.0,11.186762203865232
50.99232,4.23741,19.0,11.191428433817327
50.99351,4.23499,16.0,11.406840998848951
50.99373,4.23469,16.0,11.439130732264045
50.99387,4.2346,15.0,11.455968163442131
50.99426,4.23434,16.0,11.503049181156157
50.99465,4.23397,15.0,11.553627739244511
50.99491,4.23364,15.0,11.590686923541329
50.99553,4.2327,14.0,11.686151365396022
50.99577,4.2324,14.0,11.720157969462667
50.99606,4.23218,14.0,11.75592644802647
50.99629,4.232,14.0,11.784463910697044
50.99662,4.23156,14.0,11.832442293109999
50.99693,4.23113,14.0,11.878274807186116
50.99705,4.23094,14.0,11.897146263159227
50.99754,4.23024,15.0,11.970545193326155
50.998,4.22974,14.0,12.032608560867578
50.99843,4.22924,14.0,12.091941457210963
50.99847,4.22915,14.0,12.09966928230332
50.99849,4.22906,14.0,12.106367622170838
50.99844,4.22897,14.0,12.114785333218062
50.99813,4.22856,14.0,12.159704914189359
50.99767,4.22781,15.0,12.233134550215055
50.99735,4.22759,15.0,12.271939880086318
50.99695,4.22747,15.0,12.317229659778263
50.99659,4.22732,16.0,12.35865245940767
50.99626,4.22683,17.0,12.408972468339197
50.99596,4.22628,18.0,12.46001903209292
50.99624,4.22594,19.0,12.49927510569716
50.99699,4.22508,22.0,12.602307762761823
50.99705,4.22497,22.0,12.612515009940438
50.99806,4.22384,29.0,12.750235524996862
50.99823,4.22381,29.0,12.769264711505397
50.99836,4.22375,29.0,12.784327926272367
50.99864,4.22369,28.0,12.815776959503651
50.99869,4.22388,28.0,12.830228359007197
50.99875,4.22407,27.0,12.845176817234215
50.99879,4.22411,27.0,12.85043864883761
50.99884,4.22422,27.0,12.859955453844096
50.99899,4.22441,28.0,12.881341585596681
50.99903,4.2245,27.0,12.889133798121582
50.99909,4.22479,27.0,12.910557980728026
50.99924,4.22504,26.0,12.93479559606933
50.99931,4.22517,26.0,12.94679248718064
50.99937,4.22529,27.0,12.957586758250995
50.99944,4.22547,27.0,12.97242950543887
50.99952,4.22559,27.0,12.98468387078254
50.99957,4.22568,27.0,12.993101489573274
50.99959,4.22575,26.0,12.99858755799026
50.99965,4.22592,25.0,13.012297736385301
50.99974,4.226,26.0,13.023821011827414
50.9998,4.22613,26.0,13.035127402567753
50.99989,4.22624,25.0,13.047811016387795
50.99993,4.22628,25.0,13.053072810360687
50.99999,4.2263,25.0,13.059893785226102
51.00012,4.22645,25.0,13.077783258133868
51.00023,4.22647,26.0,13.09014141580484
51.00025,4.22652,26.0,13.094297107136578
51.00032,4.22656,26.0,13.102575276513303
51.00042,4.22654,26.0,13.113788388786896
51.00066,4.22658,26.0,13.140635326952562
51.00068,4.22652,27.0,13.14550255617488
51.00075,4.22645,27.0,13.154710654051993
51.00081,4.22645,27.0,13.161385579838061
51.00094,4.22641,27.0,13.176117971850472
51.00102,4.22639,27.0,13.185127925417824
51.00107,4.22641,27.0,13.19086480041642
51.00128,4.22628,27.0,13.215946052504705
51.00128,4.22628,27.0,13.215946052504705
51.00154,4.22624,26.0,13.245023896318283
51.00175,4.22643,27.0,13.271943660707063
51.00212,4.22705,25.0,13.33188016836575
51.00227,4.22714,25.0,13.349723303001461
51.00231,4.2271,25.0,13.354985021859056
51.00242,4.22708,25.0,13.36730265006152
51.00255,4.2272,24.0,13.38406902289693
51.00261,4.22738,22.0,13.398498020722078
51.00276,4.2272,23.0,13.41945289796146
51.00298,4.22712,23.0,13.444563566792427
51.00311,4.22699,23.0,13.461664070268247
51.00317,4.22688,23.0,13.471870555144472
51.00336,4.22667,23.0,13.497640053369468
51.00343,4.22665,23.0,13.50555299203205
51.00351,4.2266,23.0,13.515119901060952
51.00356,4.22654,23.0,13.522096856748542
51.0036,4.2265,24.0,13.527452717449664
51.00364,4.22632,25.0,13.540885378108845
51.00371,4.22624,25.0,13.550486235542174
51.00377,4.2262,25.0,13.557727629607257
51.00386,4.22607,25.0,13.57127433871361
51.00392,4.22602,25.0,13.578815689721626
51.00394,4.22596,25.0,13.583578821986167
51.00399,4.22594,25.0,13.58931567632808
51.00407,4.22579,25.0,13.603102028260668
51.00439,4.22547,24.0,13.645207162684558
51.0045,4.22559,24.0,13.6600631102515
51.00482,4.22585,22.0,13.700117835893
51.00495,4.22598,22.0,13.717218147949392
51.00502,4.22613,21.0,13.730351857992593
51.00504,4.22626,21.0,13.739743951340309
51.00508,4.22641,21.0,13.751174271780243
51.00514,4.22662,19.0,13.767478271545828
51.00529,4.22714,15.0,13.807809750870847
51.00532,4.22729,14.0,13.818899719886659
51.00596,4.2267,13.0,13.901272305389266
51.00639,4.22631,11.0,13.956423716409391
51.00755,4.22523,11.0,14.106088231711881
51.00832,4.22474,10.0,14.198400881022048
51.00841,4.22465,10.0,14.21023928920208
51.00846,4.22481,10.0,14.222771039362089
51.0086,4.22521,9.0,14.254891468980095
51.00873,4.22564,9.0,14.288357214324488
51.00879,4.22581,8.0,14.302065320650575
51.00909,4.22658,8.0,14.365582156081793
51.00922,4.2269,8.0,14.392294684729839
51.00976,4.22779,7.0,14.478964016509485
51.01017,4.22847,8.0,14.544987132864746
51.01063,4.22925,9.0,14.619930475505258
51.01085,4.22888,9.0,14.65561388122689
51.01203,4.2301,11.0,14.812354236774956
51.01227,4.23033,12.0,14.843569846971445
51.01282,4.23091,11.0,14.917065552996629
51.01289,4.23099,11.0,14.926665751156163
51.01299,4.23101,11.0,14.937878813429482
51.01422,4.23051,11.0,15.079141993038087
51.01426,4.22924,11.0,15.16837692899389
51.01431,4.2286,11.0,15.21363286553261
51.01433,4.22853,11.0,15.219025594926851
51.01437,4.22858,11.0,15.2246924971078
51.01446,4.22862,12.0,15.235138902942625
51.01467,4.22871,12.0,15.259339810602162
51.01471,4.22875,12.0,15.264601127372286
51.01476,4.2286,12.0,15.27650677599527
51.01476,4.22853,12.0,15.28141906344954
51.01476,4.22783,11.0,15.330552111653088
51.01474,4.22741,11.0,15.360109700609147
51.01467,4.22693,11.0,15.394682454062076
51.01469,4.2259,10.0,15.467004513270762
51.01469,4.22523,9.0,15.514032807253711
51.01471,4.22485,9.0,15.540792193354322
51.01484,4.22476,9.0,15.556573458344063
51.01557,4.22409,9.0,15.650413375836438
51.01617,4.2236,8.0,15.725505324739055
51.0171,4.22298,8.0,15.837742167531282
51.01748,4.22268,8.0,15.884968231465203
51.01793,4.22225,9.0,15.943428829181377
51.01823,4.22193,10.0,15.983666542721787
51.01853,4.2216,9.0,16.024299929570184
51.01873,4.22141,8.0,16.050257590063556
51.01875,4.22133,8.0,16.056296013500088
51.01899,4.22121,8.0,16.08429201382454
51.01945,4.22122,7.0,16.13548102979332
51.02089,4.22091,7.0,16.29714928056975
51.02124,4.22231,6.0,16.40282183601616
51.02237,4.22087,6.0,16.564103702125667
51.02274,4.22047,6.0,16.61392324165214
51.02345,4.21952,6.0,16.71727578477781
51.0245,4.21854,7.0,16.85282498796091
51.02465,4.21847,7.0,16.870220025774305
51.02473,4.21845,7.0,16.87922987545999
51.02478,4.21847,7.0,16.88496657937087
51.02536,4.2192,7.0,16.9673470760625
51.02544,4.21892,7.0,16.988913721682124
51.02555,4.21858,7.0,17.015723684036843
51.02664,4.21858,7.0,17.136984983654507
51.0271,4.21857,7.0,17.188164292738055
51.02808,4.21785,6.0,17.308325525882413
51.0281,4.21774,6.0,17.316356962967575
51.02828,4.21787,6.0,17.33836083659096
51.0283,4.21791,6.0,17.341942079131563
51.02834,4.21797,6.0,17.348067462725986
51.02821,4.21854,7.0,17.390602524069852
51.02785,4.2201,6.0,17.50714706936538
51.0278,4.22023,6.0,17.51782975226827
51.0278,4.22036,6.0,17.526950004518163
51.02785,4.22049,6.0,17.537632687420825
51.02787,4.22057,6.0,17.543670086461017
51.02789,4.22077,6.0,17.557876536618554
51.0278,4.22102,6.0,17.57807213647995
51.02767,4.22145,6.0,17.61152672571645
51.02748,4.22216,6.0,17.665636853095634
51.0275,4.22236,6.0,17.6798434195214
51.0274,4.22248,6.0,17.69379471610108
51.02683,4.22369,6.0,17.799753839544174
51.02673,4.2239,6.0,17.81821530180808
51.0266,4.22527,5.0,17.91541818462655
51.02645,4.22834,6.0,18.131450131141563
51.02682,4.22856,5.0,18.175422236720454
51.02703,4.22864,5.0,18.199449228419628
51.02744,4.22866,6.0,18.24509380734214
51.02778,4.22866,7.0,18.282931656396663
51.0277,4.22894,7.0,18.304497402604817
51.02748,4.22954,6.0,18.353199462602948
51.02727,4.23012,6.0,18.400119938289077
51.02722,4.23025,6.0,18.41080271807489
51.0272,4.23047,6.0,18.42639673487361
51.02727,4.23158,6.0,18.504659009004833
51.02731,4.23265,5.0,18.57986494684118
51.02735,4.23366,5.0,18.65086259003206
51.02755,4.23476,5.0,18.73117796876325
51.02759,4.23517,6.0,18.76030133615746
51.02765,4.23517,6.0,18.76697627078625
51.02773,4.23519,5.0,18.776041433816594
51.02821,4.23565,5.0,18.838434989625544
51.02885,4.2363,6.0,18.922991189123795
51.02894,4.23644,6.0,18.937016581981204
51.02898,4.23682,5.0,18.9640624580766
51.02914,4.23786,5.0,19.03916238886115
51.02918,4.23804,5.0,19.05255119640971
51.02939,4.23838,5.0,19.08593866972105
51.02948,4.23856,5.0,19.1020540160659
51.02954,4.23871,5.0,19.114515470920807
51.02958,4.23894,5.0,19.131253073995467
51.02958,4.23916,6.0,19.14671911742906
51.02933,4.24001,6.0,19.212516477350956
51.03068,4.24222,8.0,19.42837830062565
51.03089,4.24261,7.0,19.464368740539264
51.03102,4.24293,8.0,19.49109116178774
51.03115,4.24336,7.0,19.524558744803983
51.03128,4.2442,7.0,19.585234087356323
51.03137,4.24469,7.0,19.621036348410012
51.03141,4.24512,8.0,19.651543874668178
51.03141,4.24521,8.0,19.657857406968233
51.03152,4.24529,8.0,19.67132026538731
51.03218,4.24577,12.0,19.752196306746438
51.033,4.24634,16.0,19.851879059105922
51.03328,4.24656,17.0,19.886656513867237
51.03359,4.24623,19.0,19.928240537510135
51.03628,4.24346,11.0,20.28513551101765
51.03686,4.24293,7.0,20.35971053114622
51.03696,4.24277,6.0,20.375544456775263
51.03684,4.24119,5.0,20.48717453103525
51.03682,4.24104,6.0,20.497974936900256
51.0369,4.24066,5.0,20.526093336070517
51.03694,4.24059,5.0,20.53271977443012
51.03639,4.23947,3.0,20.632316140072234
51.03615,4.23897,3.0,20.6763943256327
51.03566,4.23802,4.0,20.762492893456326
51.03546,4.23757,4.0,20.801111436424257
51.03514,4.23671,4.0,20.871156773913473
51.03486,4.23598,4.0,20.931092878195784
51.03433,4.23429,4.0,21.063492449151102
51.03431,4.2342,4.0,21.07018619132094
51.0337,4.23231,4.0,21.219121798106315
51.03345,4.23148,4.0,21.283645654602193
51.0334,4.23132,4.0,21.296171995826732
51.03325,4.23105,4.0,21.32141449506414
51.03308,4.23081,4.0,21.34673460840534
51.03267,4.23034,6.0,21.40305030733358
51.03244,4.23008,6.0,21.434472534612713
51.03231,4.22991,6.0,21.45321748490079
51.03227,4.22982,6.0,21.460941557622117
51.03147,4.2272,3.0,21.66517025149676
51.03128,4.22656,4.0,21.714803476457273
51.03128,4.22641,4.0,21.725326053142524
51.03137,4.22566,4.0,21.77888311055517
51.0316,4.22562,4.0,21.804623768543532
51.03175,4.22557,4.0,21.82167574620463
51.03192,4.22551,4.0,21.84105076777467
51.03216,4.22538,3.0,21.869282670314085
51.03229,4.22532,3.0,21.88434504586224
