latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
50.93148,4.25587,77.0,0.0
50.93145,4.25585,77.0,0.0036215341667561697
50.93141,4.25581,77.0,0.008885532495074651
50.93138,4.2558,77.0,0.01229622219685798
50.93135,4.2558,77.0,0.015633671384441546
50.93133,4.25582,77.0,0.018265671968074115
50.93123,4.25598,77.0,0.03408613850905881
50.93098,4.25636,76.0,0.07266331409497107
50.93089,4.25649,76.0,0.0862196683407404
50.93085,4.25656,76.0,0.0928544283636875
50.9308,4.25661,76.0,0.09943444911316868
50.93075,4.25664,76.0,0.10538328920551439
50.93072,4.25665,76.0,0.10879398005123485
50.93063,4.25665,76.0,0.11880632485293999
50.93059,4.25664,76.0,0.12331144851402283
50.93047,4.25659,75.0,0.13715244981232105
50.93005,4.25638,71.0,0.18631670971557385
50.92979,4.25626,70.0,0.21646306138904786
50.92957,4.25616,70.0,0.24192740810340052
50.92947,4.25611,69.0,0.25363716375145884
50.92933,4.25602,69.0,0.27044814205345874
50.92911,4.25586,65.0,0.2976793953062487
50.9289,4.25572,64.0,0.32304999274519813
50.92879,4.25569,64.0,0.3354677102180874
50.92867,4.25567,64.0,0.348891321905124
50.92851,4.25565,64.0,0.3667464594065632
50.92819,4.25567,61.0,0.40249966241370544
50.92794,4.25571,60.0,0.430471355250477
50.92786,4.25573,60.0,0.4394815886035983
50.92778,4.25578,60.0,0.44905053963403624
50.92766,4.25586,60.0,0.46353680509724793
50.92726,4.25614,57.0,0.5122884259846815
50.9271,4.25625,57.0,0.5316956675844356
50.92667,4.25656,55.0,0.5843016431514503
50.92639,4.25678,55.0,0.6190801370127419
50.92629,4.25686,55.0,0.6315460344394344
50.92624,4.2569,55.0,0.6377789851295483
50.92607,4.25705,55.0,0.6594329966512955
50.92591,4.25719,54.0,0.679797666141882
50.92576,4.25732,54.0,0.6988241480531369
50.92567,4.25738,54.0,0.7096889041515355
50.92557,4.25742,54.0,0.7211636770359255
50.9254,4.25751,54.0,0.7411063829502954
50.92528,4.25757,54.0,0.7551068273480418
50.92517,4.25757,54.0,0.7673440839392404
50.92505,4.25752,53.0,0.7811851294564999
50.92494,4.25744,53.0,0.7946532401471936
50.92482,4.25735,52.0,0.8094606499395679
50.92463,4.25721,52.0,0.832777450519754
50.92448,4.2571,52.0,0.851169870082411
50.92436,4.25703,52.0,0.8653980083747367
50.92428,4.257,51.0,0.8745988892990164
50.92414,4.25699,51.0,0.8901894328177207
50.92404,4.25697,51.0,0.9014027324276224
50.92385,4.25699,51.0,0.9225865252615131
50.92371,4.25701,51.0,0.9382245623409897
50.92347,4.25709,50.0,0.9655284439952077
50.92327,4.25717,50.0,0.9884780335086303
50.92313,4.25722,50.0,1.004444581846158
50.92281,4.25733,50.0,1.0408743882508373
50.92262,4.25738,52.0,1.0623949772540207
50.92251,4.2574,52.0,1.0747127651674084
50.92223,4.25746,52.0,1.106146530742959
50.922,4.25757,53.0,1.1328957200250729
50.92182,4.25767,54.0,1.1541425456347674
50.92167,4.25777,54.0,1.1722506943088553
50.92134,4.25798,55.0,1.2118335438339276
50.92117,4.25809,55.0,1.2322662707348828
50.92099,4.2582,55.0,1.2537328250272435
50.92086,4.25826,57.0,1.2689300554762086
50.92077,4.2583,57.0,1.279329932484323
50.92064,4.25833,57.0,1.293945184852774
50.92041,4.25838,57.0,1.3197725981312058
50.92025,4.25839,57.0,1.3375861218842167
50.9201,4.2584,59.0,1.3544074154002663
50.92004,4.25843,59.0,1.3614077091226293
50.91988,4.25853,59.0,1.380546021045094
50.91973,4.25867,59.0,1.3999207355586156
50.91958,4.25879,59.0,1.4186201218957948
50.91948,4.25886,60.0,1.430826287491362
50.91937,4.2589,60.0,1.4433826500983222
50.91923,4.25893,61.0,1.4591313450462118
50.9191,4.25897,61.0,1.4738645561482822
50.91895,4.259,62.0,1.4907142478614355
50.91886,4.25903,62.0,1.5009463882505079
50.91882,4.25904,62.0,1.5054515207971697
50.91869,4.25906,63.0,1.520016330725998
50.9186,4.2591,63.0,1.5304162493029385
50.91847,4.25919,64.0,1.546234303505243
50.91828,4.25934,64.0,1.5698572046758472
50.91805,4.25954,64.0,1.5990548203646222
50.91791,4.25967,64.0,1.6171143028664199
50.9178,4.25974,64.0,1.6303045310170527
50.91769,4.2598,64.0,1.6432487733825794
50.9175,4.25988,65.0,1.6651445766059036
50.91722,4.25997,65.0,1.696930450330166
50.91689,4.26005,66.0,1.7340842606487323
50.91668,4.26006,67.0,1.757478272553053
50.91645,4.26004,68.0,1.7831234111036998
50.91615,4.26004,68.0,1.81649776926436
