latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
50.77817,2.81031,147.0,0.0
50.77821,2.81053,149.0,0.016266220072444833
50.77842,2.81119,150.0,0.06836094613247748
50.77852,2.81144,151.0,0.08923414524295756
50.77883,2.81246,154.0,0.1690725923988901
50.77885,2.81264,155.0,0.18200067313270096
50.77888,2.81295,153.0,0.20420923340152392
50.77896,2.81336,156.0,0.23461439302391038
50.77921,2.81313,153.0,0.26695100239403985
50.77932,2.81302,149.0,0.28198236715177044
50.77967,2.81278,145.0,0.3246271677599244
50.77988,2.81278,144.0,0.34801034196167846
50.77986,2.81337,146.0,0.3897309867176678
50.77995,2.81394,146.0,0.4311615678279391
50.77999,2.8144,146.0,0.463909463807845
50.77988,2.81579,140.0,0.5628900639650547
50.77986,2.81596,140.0,0.575084994430321
50.77971,2.81628,139.0,0.6031715778258537
50.77962,2.81634,134.0,0.6151362107558864
50.77956,2.81636,135.0,0.6220313252081247
50.77986,2.81653,133.0,0.6575501251013995
50.77992,2.81662,132.0,0.6668154837417567
50.77997,2.81676,131.0,0.6781926986304896
50.77997,2.81707,130.0,0.7000800431551837
50.77977,2.81742,126.0,0.7335526593500991
50.77997,2.81776,123.0,0.7664021682101334
50.78006,2.81804,116.0,0.789623863724883
50.78019,2.81832,108.0,0.8153755650071788
50.78027,2.81864,105.0,0.8398212259937404
50.78036,2.81924,96.0,0.8842289216725796
50.78037,2.81932,96.0,0.8899799135582933
50.78025,2.81966,91.0,0.9178771109136756
50.78004,2.81993,93.0,0.9480831160103376
50.77905,2.82044,96.0,1.0639805931683435
50.77878,2.82065,92.0,1.0977084318495052
50.77862,2.82082,92.0,1.1191697040960196
50.77857,2.82087,92.0,1.1257557481999763
50.77853,2.82093,92.0,1.131896615904445
50.77874,2.82128,91.0,1.1658991925210387
50.7792,2.82213,86.0,1.2448795903416654
50.77937,2.82237,81.0,1.2707483542125926
50.77955,2.82269,80.0,1.300937203078005
50.77975,2.82302,77.0,1.3332752713445248
