latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
50.75463,3.65649,62.0,0.0
50.7545,3.65812,62.0,0.115931487141971
50.7537,3.65963,64.0,0.25478042222425956
50.75357,3.66038,64.0,0.30964774205130263
50.75355,3.66049,65.0,0.3177846318404717
50.75347,3.66057,65.0,0.3283238416638187
50.75338,3.66064,66.0,0.339532903901832
50.75325,3.66066,66.0,0.3540634245544666
50.75265,3.66055,66.0,0.4212601352229193
50.75222,3.66057,68.0,0.4691579489568482
50.75134,3.66098,73.0,0.5713622540287537
50.75102,3.6613,73.0,0.6135197346629178
50.75088,3.66154,78.0,0.6370663449631455
50.75076,3.66191,78.0,0.666393121960172
50.75058,3.66257,81.0,0.7171824788044271
50.75054,3.66292,82.0,0.7423010032524685
50.75053,3.66315,84.0,0.758693642813122
50.75044,3.66364,85.0,0.7947091896009544
50.75001,3.6651,94.0,0.9086667594575492
50.74993,3.66521,95.0,0.9205188343795685
50.74817,3.66656,114.0,1.1390901655297068
50.74789,3.66684,115.0,1.1759924489902853
50.7472,3.66488,110.0,1.3342757876714904
50.74703,3.66437,107.0,1.3750476149921937
50.74694,3.66465,108.0,1.3972240368162352
50.74637,3.66488,110.0,1.4627094085710595
50.7457,3.66523,106.0,1.5413327588481225
50.74525,3.66551,105.0,1.5951622704574706
50.7448,3.66613,98.0,1.6620210211758377
50.74471,3.66617,98.0,1.6724235448834055
50.74456,3.66622,97.0,1.6895087162913367
50.74482,3.66495,100.0,1.78374806849585
50.74523,3.66317,105.0,1.9175019260169313
50.74536,3.6627,105.0,1.9536909357071301
50.74589,3.66057,104.0,2.1151817158543316
50.74604,3.65982,103.0,2.1706945780793934
50.74589,3.65943,105.0,2.2029462699781157
50.74598,3.65866,103.0,2.258244731758309
50.746,3.65851,103.0,2.269063198764267
50.746,3.658,103.0,2.3050597074090104
50.74588,3.6579,105.0,2.3202920631912742
50.74573,3.65771,106.0,2.3417231396636797
50.74543,3.65725,105.0,2.388295123120198
50.74518,3.65672,105.0,2.434909281694687
50.74511,3.65677,106.0,2.4435171127066346
50.74492,3.65681,106.0,2.4648414365552647
50.74383,3.65686,107.0,2.586154213646365
50.74245,3.65691,106.0,2.7397164259207414
50.74243,3.65668,106.0,2.756103129837603
50.74238,3.65598,107.0,2.805836058785385
50.74205,3.65447,105.0,2.918585257015563
50.74196,3.65394,104.0,2.9573260485213413
50.74196,3.65384,104.0,2.9643847959604215
50.74198,3.65374,104.0,2.9717858828568606
50.74209,3.65357,104.0,2.988924721179652
50.74165,3.65281,104.0,3.061545994010179
50.74167,3.65276,104.0,3.065718143404242
50.74168,3.65252,104.0,3.082695725830362
50.74167,3.65243,104.0,3.0891453017527315
50.74116,3.65049,102.0,3.237387577794091
50.74053,3.6484,101.0,3.4007225039180735
50.74031,3.64741,100.0,3.474774683831807
50.74029,3.64733,100.0,3.4808443613189497
50.74027,3.6473,100.0,3.4839159784241143
50.74026,3.64724,99.0,3.4884077648368548
50.74028,3.64675,98.0,3.523082748216188
50.74027,3.64666,98.0,3.5295325046212978
