latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
50.26122,4.9082,106.0,0.0
50.26088,4.90849,101.0,0.043393565391578154
50.26083,4.90868,105.0,0.05857569720017126
50.26057,4.909,105.0,0.09541504495267014
50.26035,4.90926,101.0,0.12637656957053972
50.26022,4.90947,101.0,0.1471938304969257
50.26012,4.9097,101.0,0.16701127075756417
50.2602,4.90981,101.0,0.17887375081063867
50.26017,4.90998,101.0,0.19144724097458427
50.26018,4.9102,99.0,0.2073013101157443
50.2601,4.91025,99.0,0.21688787917238725
50.26013,4.91043,99.0,0.230150252174434
50.26011,4.91046,99.0,0.23323665357788675
50.26015,4.91061,99.0,0.24482156632441557
50.26021,4.91055,98.0,0.25281220125508075
50.26035,4.91124,98.0,0.3044210826183829
50.26047,4.91187,100.0,0.3513294444779023
50.26053,4.91211,100.0,0.36969888884026536
50.26039,4.91219,100.0,0.3862838955372123
50.26002,4.91233,98.0,0.4286818306426684
50.25977,4.91242,98.0,0.4572217395661319
50.25955,4.91248,98.0,0.48206482395907696
50.25887,4.91272,96.0,0.5596429403790625
50.25885,4.91257,96.0,0.5705685107899753
50.2587,4.91263,96.0,0.5877937321203088
50.25837,4.91275,96.0,0.6254857819515842
50.25796,4.91288,96.0,0.6720251142160718
50.25756,4.91299,96.0,0.7172055941493592
50.25735,4.9132,97.0,0.7449714024353178
50.25706,4.91327,97.0,0.7776137234957738
50.25707,4.91328,97.0,0.7789350502344463
50.25709,4.9134,95.0,0.7880005231310511
50.25709,4.91347,95.0,0.7929924863198142
50.25704,4.91354,95.0,0.8004659834789041
50.25692,4.91367,94.0,0.8167486267611185
50.25688,4.9137,94.0,0.8216856820140942
50.2567,4.91384,95.0,0.8440816027986927
50.25656,4.91395,94.0,0.8615474449541792
50.2567,4.91443,94.0,0.8991542865382786
50.25672,4.91447,94.0,0.9027718158679813
50.25663,4.91462,94.0,0.9174228711763989
50.25652,4.91485,94.0,0.9378863627937198
50.25645,4.91505,96.0,0.9542589243242134
50.25639,4.91527,96.0,0.971308754484035
50.25637,4.91534,96.0,0.9767740811306989
50.25633,4.91554,96.0,0.9917149599803309
50.25631,4.9156,96.0,0.9965376453943483
50.2563,4.9157,97.0,1.0038243151707098
50.25624,4.9159,99.0,1.0196981126879894
50.25623,4.91599,100.0,1.0262884583098943
50.25623,4.91612,100.0,1.035559421236901
50.25623,4.91618,100.0,1.0398383272031186
50.25638,4.91663,102.0,1.0760637570114093
50.25671,4.91648,107.0,1.1146240271012535
50.25679,4.91645,107.0,1.1237764616603862
50.25683,4.91652,108.0,1.1305379379653868
50.25686,4.91655,108.0,1.1345019302295076
50.25703,4.91645,108.0,1.154712051888014
50.25706,4.91643,108.0,1.158341150371764
50.25711,4.91639,108.0,1.1645918017136343
50.25724,4.91628,108.0,1.181043164012489
50.25731,4.91644,109.0,1.1948931474004236
50.25726,4.91648,109.0,1.201143794443306
50.2572,4.91656,110.0,1.2099807897900514
50.25721,4.91663,110.0,1.2150951848520153
50.25723,4.91671,120.0,1.2268211211829556
50.25725,4.91678,121.0,1.232377120527197
50.25724,4.91684,121.0,1.2367981754072808
50.25719,4.91691,120.0,1.2443382981727849
50.25716,4.91695,120.0,1.2487284238713356
50.25714,4.91696,120.0,1.2510646509290577
50.25707,4.91698,120.0,1.2589807288113681
50.25699,4.91703,120.0,1.2685674113397238
50.25669,4.91715,114.0,1.303536626464089
50.25639,4.91749,128.0,1.3470973008810618
50.2563,4.91758,129.0,1.3590313222480104
50.25627,4.91765,130.0,1.365118765089619
50.25662,4.91762,131.0,1.40412302442907
50.25663,4.91769,132.0,1.409334340743948
50.25646,4.91789,133.0,1.4330414662728441
50.25622,4.91795,133.0,1.4600789190935135
50.25597,4.91813,135.0,1.4907730414451663
50.25581,4.9181,130.0,1.5093832366840725
50.25573,4.91814,130.0,1.5187281827073749
50.25565,4.91819,130.0,1.528314915557111
50.25574,4.91831,133.0,1.5418228371020672
50.25558,4.91835,146.0,1.564046705148366
50.25546,4.91848,149.0,1.5805734720662559
50.25554,4.91864,152.0,1.5953516506939267
50.25569,4.91866,152.0,1.612097999493882
50.25566,4.91875,153.0,1.6194009577035253
50.25577,4.91884,154.0,1.6332543841502776
50.2557,4.9189,154.0,1.6421392227389116
50.25574,4.91899,155.0,1.6500128924091992
50.25569,4.91906,156.0,1.6575531585126435
50.25565,4.91911,157.0,1.6633421915733766
50.25578,4.91927,172.0,1.6870975599162024
50.25579,4.91928,172.0,1.688418912297561
50.25551,4.91944,174.0,1.721649915720411
50.25535,4.9196,175.0,1.742815243687844
