latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
50.144,5.66857,285.0,0.0
50.14424,5.66896,294.0,0.03963529749204212
50.14419,5.66904,296.0,0.04785954554150525
50.14447,5.66949,305.0,0.09353089129805175
50.14449,5.66946,306.0,0.09677873063376495
50.14451,5.6695,306.0,0.10040163516101658
50.14453,5.66946,307.0,0.10416001679182117
50.14461,5.6696,308.0,0.11758934915822482
50.14471,5.66946,309.0,0.13258575044717114
50.14481,5.66944,310.0,0.14384546786366026
50.14493,5.66937,311.0,0.15813603229718334
50.14501,5.66926,312.0,0.17005330721482978
50.14506,5.66912,319.0,0.1834729889597694
50.14516,5.66873,319.0,0.21348877673983416
50.14518,5.66851,318.0,0.22940311374236327
50.14523,5.66809,315.0,0.2600838829816501
50.14527,5.6673,315.0,0.316730503937194
50.14512,5.66637,319.0,0.38538842359985376
50.14474,5.66546,310.0,0.4634862519216289
50.14452,5.66517,311.0,0.49557418283717036
50.14445,5.66499,315.0,0.5111367926391082
50.14407,5.66458,308.0,0.5630478996771183
50.14394,5.66433,310.0,0.5861237729390273
50.14343,5.66392,320.0,0.6507568009291088
50.14305,5.66377,310.0,0.69549771050631
50.14274,5.66381,308.0,0.7301573512913754
50.14266,5.6637,307.0,0.7420748617304216
50.14236,5.66366,305.0,0.7756279532901388
50.14232,5.66371,304.0,0.7814222595854188
50.14232,5.66371,304.0,0.7814222595854188
50.14226,5.66377,304.0,0.7893559143612082
50.14208,5.66384,303.0,0.8100186562318216
50.14195,5.66375,303.0,0.8258461755182435
50.14136,5.66394,303.0,0.8928668627954381
50.14133,5.66405,302.0,0.9014677361775747
50.14112,5.66424,297.0,0.9289481603738374
50.14083,5.66486,294.0,0.983849702381647
50.14041,5.66554,295.0,1.0512806746754644
50.14029,5.66592,295.0,1.0815492298797573
50.14,5.66608,300.0,1.1161391632279825
50.13986,5.66646,299.0,1.1474687449691519
50.13976,5.66663,299.0,1.1639442827601276
50.1395,5.66678,298.0,1.1948061843212185
50.13921,5.66711,300.0,1.2348214185983375
50.1391,5.66743,300.0,1.2607655499439545
50.13907,5.6678,298.0,1.2875021848622912
50.13886,5.66833,294.0,1.3321944144362996
50.13853,5.66842,298.0,1.369676289523505
