latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
51.08925,2.57657,12.0,0.0
51.08934,2.57667,12.0,0.012220422391439209
51.08933,2.57689,12.0,0.027674360688797764
51.08938,2.57741,13.0,0.0645428243586525
51.08939,2.57752,13.0,0.07232962014382749
51.08943,2.57774,13.0,0.08837294993438019
51.08948,2.57801,13.0,0.10809076555240882
51.08954,2.57831,13.0,0.13014401409063922
51.08948,2.57857,13.0,0.14954476551474138
51.08944,2.57872,13.0,0.16095749122747774
51.08917,2.57885,13.0,0.19234560903080924
51.08917,2.57906,13.0,0.20705887721733438
51.08906,2.57926,13.0,0.22566294705593343
51.08902,2.57973,12.0,0.2589070942783071
51.08911,2.58035,12.0,0.3034853421584945
51.08922,2.58091,11.0,0.3445970400029446
51.08907,2.58148,11.0,0.38787936251227373
51.08885,2.58182,12.0,0.4220479948943849
51.08867,2.58192,11.0,0.4432869034937841
51.08864,2.58196,11.0,0.44764503017174084
51.08847,2.58185,10.0,0.468092090169063
51.08859,2.58226,11.0,0.4997847189663682
51.08866,2.58254,11.0,0.5208917779427944
51.08868,2.5826,11.0,0.525648128207727
51.08859,2.58319,10.0,0.5681929166501568
51.0886,2.58352,10.0,0.5913407917076361
51.08868,2.58386,10.0,0.6167708063745088
51.08876,2.58401,10.0,0.6305425660954541
51.08886,2.58422,11.0,0.649015503978395
51.08891,2.58432,11.0,0.657961484538346
51.0891,2.58435,11.0,0.6792032661609909
51.08933,2.58436,11.0,0.7048003972458233
51.09011,2.58424,11.0,0.7919818836092423
51.09016,2.58453,12.0,0.8130711790526459
51.09035,2.5858,15.0,0.9045747847545061
51.09053,2.58773,16.0,1.0412714881624106
51.09056,2.58804,16.0,1.063245378671434
51.09071,2.5896,16.0,1.173807155739821
51.09082,2.59078,15.0,1.2573857074626262
51.09085,2.59108,15.0,1.278667247909985
51.09097,2.59254,14.0,1.3818280279038595
51.091,2.59267,14.0,1.3915281333998135
51.09095,2.59289,14.0,1.4079144522231997
51.091,2.59297,14.0,1.415811018124138
51.09109,2.59312,14.0,1.4303262118117912
51.09112,2.59319,14.0,1.4362583549192114
51.09127,2.59371,14.0,1.4763296835051734
51.09117,2.59406,15.0,1.5032749504982121
51.09119,2.59428,15.0,1.518847956509226
51.09122,2.59458,15.0,1.5401293313538076
51.09127,2.59497,16.0,1.5680311473800688
51.09129,2.59525,16.0,1.5877737355594803
51.09133,2.59557,15.0,1.6106521705686052
51.09137,2.59596,15.0,1.6383355387178726
51.09142,2.59641,13.0,1.6704118304671396
51.09142,2.59653,13.0,1.6788190043464102
51.0908,2.59674,14.0,1.7493529306047628
51.09064,2.5968,14.0,1.767642603948705
51.09057,2.59685,14.0,1.776181737566039
51.09067,2.59747,12.0,1.821066143323971
51.09074,2.59767,12.0,1.8370969360816114
51.09076,2.59788,12.0,1.8519769927430805
51.09069,2.59817,11.0,1.8737589060696194
51.09071,2.59854,11.0,1.8997767339546778
51.09071,2.59876,11.0,1.9151901172476853
51.09072,2.59914,10.0,1.9418552205514164
51.09061,2.59978,9.0,1.9883448944225932
51.09063,2.60014,9.0,2.013664786751367
51.09071,2.60029,9.0,2.027436208997464
51.09086,2.60044,8.0,2.0471824678041908
51.091,2.60065,8.0,2.06860779861233
51.09088,2.60076,8.0,2.0840225790324296
51.09059,2.60099,8.0,2.120085468260978
51.09039,2.6012,9.0,2.1467787545559465
51.09034,2.60125,9.0,2.1533524120716008
51.09025,2.60134,9.0,2.16518500057138
51.09025,2.60134,9.0,2.16518500057138
51.08964,2.60179,11.0,2.2400404686563506
51.08887,2.60224,12.0,2.3313264279923267
51.08866,2.60243,11.0,2.35823405922553
51.08868,2.60257,11.0,2.368292195413899
51.08876,2.60282,11.0,2.3879395639693843
51.08896,2.60374,10.0,2.4561375581343836
51.08893,2.60396,9.0,2.4719403836427536
51.08883,2.6041,9.0,2.4867721218544276
51.08885,2.60432,9.0,2.5023458829424623
51.0888,2.60454,9.0,2.518732860458986
51.08875,2.60465,9.0,2.528237569624058
51.08804,2.60557,10.0,2.6301935639437417
51.08794,2.60544,10.0,2.644571659330574
51.08763,2.60586,8.0,2.6899518508978018
51.08752,2.6059,8.0,2.702506186549839
51.08748,2.60604,8.0,2.7132775727685106
51.08753,2.60614,8.0,2.722223711597319
51.08769,2.60658,9.0,2.7578362998087846
51.0878,2.60684,9.0,2.7797820263642286
51.08806,2.60729,8.0,2.822580987001284
51.08813,2.60737,8.0,2.832175949865599
51.08836,2.60747,8.0,2.8587054009972244
51.08842,2.60755,8.0,2.8674216706209856
51.08878,2.60822,8.0,2.929127739915857
51.08885,2.60828,8.0,2.9379774508945604
51.08895,2.60836,9.0,2.950474765235514
51.08912,2.60877,7.0,2.9849256656523284
51.08921,2.60889,7.0,2.9979999787035783
51.08941,2.60915,9.0,3.0268253030341308
51.0898,2.60988,10.0,3.093902530406819
51.08992,2.61019,9.0,3.119416230625223
51.09019,2.61099,11.0,3.183038514730095
51.09026,2.61107,11.0,3.192633334025475
51.09039,2.61134,10.0,3.2164661189366774
51.09048,2.61165,10.0,3.240381903212904
51.09061,2.61135,10.0,3.2658953200197915
51.09067,2.61109,11.0,3.285321403165966
51.09065,2.61097,11.0,3.2940181547747764
51.09069,2.61093,11.0,3.2992770728123677
51.09084,2.61093,11.0,3.315964603766846
51.09101,2.6108,11.0,3.336955964547122
51.09134,2.61022,10.0,3.3917282705315364
51.09151,2.60949,9.0,3.4462658950851917
51.09163,2.60927,9.0,3.4666567391667766
51.09184,2.60909,9.0,3.493205509372131
51.09206,2.60909,8.0,3.5177009706178235
51.09228,2.60898,8.0,3.543360605715898
51.09237,2.60883,8.0,3.5578755772499226
51.09243,2.60953,8.0,3.607368538030065
51.09262,2.60977,8.0,3.6343778658099954
51.09293,2.61009,6.0,3.6755601251620313
51.09334,2.61018,6.0,3.721606418184091
51.0934,2.6109,6.0,3.7724870312961865
51.09331,2.61108,6.0,3.7885888363973255
51.09334,2.61112,6.0,3.7929467802215084
51.09332,2.61141,5.0,3.813409180894006
51.09336,2.61171,5.0,3.8348921612218168
51.09336,2.61179,5.0,3.8404967022947325
51.09333,2.61182,5.0,3.8444408237984704
51.09327,2.61183,5.0,3.851152495837724
51.09325,2.61188,5.0,3.855302262876356
51.09323,2.61203,5.0,3.8660437752050414
51.09333,2.61294,5.0,3.9307589470024404
51.09334,2.61293,5.0,3.932073654248156
51.09347,2.61284,5.0,3.947850814863811
51.09351,2.61294,4.0,3.9562103465336493
51.09353,2.61305,5.0,3.96429344092995
51.09364,2.61294,5.0,3.9787551989492185
51.09414,2.61259,5.0,4.039544669646556
51.09473,2.61213,7.0,4.11269363053749
51.09477,2.6122,7.0,4.119315571670645
51.09477,2.61245,7.0,4.136829235385585
51.09481,2.61245,7.0,4.141279243928772
51.09486,2.61246,7.0,4.14688569464404
51.09494,2.61247,7.0,4.155813240211186
