latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
51.19736,3.21837,7.0,0.0
51.19801,3.21889,5.0,0.08095950480816055
51.19813,3.21902,5.0,0.0971087855598036
51.19822,3.21909,5.0,0.10825303560402307
51.19835,3.21912,5.0,0.12286704234959149
51.1985,3.21912,5.0,0.13955486650415136
51.19852,3.21922,5.0,0.14689024624093616
51.19851,3.21926,5.0,0.149899368907981
51.19858,3.21943,5.0,0.16410654908051692
51.19869,3.21946,5.0,0.17652264103424517
51.19871,3.21957,5.0,0.18452684463843005
51.19876,3.21966,5.0,0.19292424772594347
51.19896,3.21954,5.0,0.21670312049242635
51.19908,3.2196,5.0,0.23069660412920914
51.19929,3.21967,6.0,0.2545873358614054
51.19933,3.21981,6.0,0.2653372043374414
51.19928,3.21992,6.0,0.2748270702402928
51.19908,3.22078,6.0,0.3389241875338467
51.19899,3.22119,6.0,0.3692807601079638
51.19884,3.22189,6.0,0.4209763529563503
51.19878,3.22238,6.0,0.4558704578619554
51.19869,3.22341,7.0,0.5285646315306228
51.19865,3.22351,7.0,0.536850761746197
51.19865,3.22434,7.0,0.5948657507277918
51.19865,3.22494,6.0,0.6368162142118879
51.19866,3.22513,6.0,0.6501432673274287
51.19867,3.2254,6.0,0.6690483671301551
51.19872,3.22572,6.0,0.6920968861479433
51.19878,3.22646,5.0,0.7442594984526559
51.19881,3.22676,4.0,0.7655161832715863
51.19902,3.2276,4.0,0.8287072775605197
51.19915,3.228,4.0,0.8601852692734241
51.1994,3.22869,5.0,0.9158680192422504
51.19952,3.2289,5.0,0.9357093876339551
51.19975,3.22924,5.0,0.970630799750293
51.19979,3.22936,5.0,0.9801257188753058
51.19979,3.22936,5.0,0.9801257188753058
51.19994,3.22951,5.0,0.9998337214360106
51.20003,3.22982,6.0,1.0237238819857548
51.20013,3.23019,6.0,1.0518766317490296
51.20025,3.23033,6.0,1.0684290433582695
51.20043,3.23055,6.0,1.0936771265871708
51.20065,3.23107,6.0,1.1374952337280317
51.20073,3.2312,6.0,1.1502142623711917
51.20106,3.23177,7.0,1.2043997018530321
51.20114,3.23203,7.0,1.2246345614619023
51.20121,3.23231,6.0,1.2457211043377663
51.20129,3.23253,7.0,1.2635158514413467
51.20138,3.2326,7.0,1.2746599629076887
51.20161,3.23283,6.0,1.3048951530837114
51.20192,3.23314,6.0,1.3456245668026594
51.20212,3.23334,6.0,1.3719015676805393
51.20226,3.23356,6.0,1.3937881071802443
51.20243,3.23382,6.0,1.420016252050926
51.20249,3.23391,6.0,1.4291882108657767
51.20275,3.23411,6.0,1.4613142563141992
51.20287,3.23427,6.0,1.4787292029475325
51.20296,3.23438,6.0,1.4913529870266302
51.20309,3.23448,6.0,1.507415983990719
51.20315,3.23455,6.0,1.5156920090245432
51.20316,3.23474,6.0,1.5290177728796335
51.20343,3.23513,6.0,1.5695794440672473
51.20339,3.23517,6.0,1.5748348003835344
51.20339,3.23527,6.0,1.581823839705733
51.20374,3.23578,6.0,1.634612884382143
51.20403,3.23612,6.0,1.6746824118658727
51.20423,3.23626,6.0,1.698989185940529
51.2044,3.23635,6.0,1.7189206085442483
51.2046,3.23653,6.0,1.7444810961730162
51.20464,3.23655,6.0,1.7491455447425677
51.20481,3.2367,6.0,1.7707695151042933
51.205,3.23685,6.0,1.794364222096646
51.20534,3.2371,6.0,1.8360302530332946
51.20562,3.23737,6.0,1.8724503416476115
51.20589,3.23761,7.0,1.9068686101704642
51.2061,3.23786,7.0,1.9360420007995331
51.20632,3.2382,7.0,1.9701543095448537
51.20642,3.23833,7.0,1.9845178430620176
51.20678,3.23859,7.0,2.028497702376683
51.20699,3.23882,7.0,2.0568559357528615
51.20747,3.23923,6.0,2.1174666350950253
51.20772,3.23953,6.0,2.152296333216856
51.20806,3.23999,6.0,2.2019368957109364
51.2082,3.24011,6.0,2.219626319166545
51.20822,3.24013,6.0,2.222253921597441
51.20832,3.24018,6.0,2.2339149669197664
51.20846,3.24025,6.0,2.250240426868357
51.20867,3.24035,6.0,2.274626189283438
51.20903,3.24049,6.0,2.315854673425968
51.20931,3.24054,6.0,2.3472006890687904
51.20965,3.24059,6.0,2.385187536032181
51.21024,3.24069,7.0,2.4512049631616524
51.21094,3.24055,7.0,2.529693752499166
51.21138,3.24038,8.0,2.580075568692974
51.2115,3.24041,8.0,2.5935894526516288
51.21163,3.24047,8.0,2.6086477314763745
51.21176,3.24043,8.0,2.6233781708694215
51.21183,3.24037,8.0,2.632222731918321
51.21198,3.24032,7.0,2.6493017293802947
51.21212,3.24015,7.0,2.6688901269720495
51.2124,3.24005,7.0,2.7008149346339123
51.21242,3.24,7.0,2.704957125574551
51.21263,3.23989,6.0,2.7295723975230564
51.21324,3.23968,5.0,2.799011912652387
51.21389,3.2393,6.0,2.8760532253779423
51.21512,3.23857,7.0,3.0220947528547915
51.21528,3.23847,7.0,3.041217410618675
51.21554,3.23837,7.0,3.070975011322901
51.21575,3.23819,7.0,3.0975082067269195
51.21631,3.23773,7.0,3.1676116791008218
