latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
51.21753,4.46843,8.0,0.0
51.2175,4.46839,8.0,0.004353172906069171
51.21697,4.46761,8.0,0.08464507038997317
51.21708,4.46757,8.0,0.09719792585526267
51.21717,4.46747,8.0,0.10940744829731033
51.21728,4.46718,9.0,0.13309960028383017
51.21727,4.46699,9.0,0.14642132445026151
51.21723,4.46691,9.0,0.15356601184205623
51.21721,4.4668,9.0,0.16156726084141007
51.21721,4.46661,8.0,0.17488007758308136
51.21717,4.46635,8.0,0.19358328025280325
51.21706,4.46581,8.0,0.23324795690762623
51.21689,4.46523,7.0,0.2779797713655096
51.21698,4.46505,7.0,0.2940553797652996
51.21708,4.46485,7.0,0.31191714449037267
51.21704,4.46468,7.0,0.3246012591981085
51.21701,4.46459,7.0,0.33172037932849663
51.217,4.4645,7.0,0.33810631712231326
51.21697,4.46444,7.0,0.3434648497211406
51.21685,4.4642,6.0,0.364922314226295
51.2168,4.46412,6.0,0.37280815567242426
51.2166,4.46396,6.0,0.39770916773370957
51.21662,4.46373,6.0,0.4139326633825094
51.21656,4.46344,6.0,0.43526628313450855
51.21651,4.46329,6.0,0.4471315795429326
51.21648,4.46313,7.0,0.4588412313813136
51.21697,4.46313,8.0,0.5133641543376847
51.21706,4.46311,8.0,0.5234739268959354
51.21779,4.46311,9.0,0.6046944705391252
51.21785,4.46178,9.0,0.6978591324150731
51.21788,4.46113,9.0,0.7433961458471174
51.21789,4.46113,9.0,0.74450867187605
51.21791,4.4605,8.0,0.7885933468447658
51.21807,4.45719,7.0,1.0205436554550045
51.21814,4.45699,7.0,1.0365408490286268
51.2191,4.4562,5.0,1.1567792625270734
51.2193,4.45603,6.0,1.1820212029482773
51.21958,4.45578,5.0,1.2177485988794035
51.21992,4.45549,4.0,1.2606706882130203
51.21987,4.45541,4.0,1.2685562657596585
51.21994,4.45534,4.0,1.2777522256162817
51.21997,4.45529,4.0,1.282583614479897
51.22,4.45526,4.0,1.286524738240162
51.22003,4.45525,4.0,1.2899346550890767
51.22008,4.45521,4.0,1.2961598178247544
51.22017,4.45512,4.0,1.3079831791657006
51.22024,4.45509,4.0,1.3160479757448487
51.22028,4.45504,4.0,1.3217053736340973
51.22035,4.45492,4.0,1.3331480813351555
51.22043,4.4548,4.0,1.3453751427979317
51.22054,4.4546,4.0,1.3639494593539612
51.22058,4.45452,3.0,1.3711634743168697
51.22066,4.45441,3.0,1.3829224687275787
51.22074,4.45434,4.0,1.393126906755934
51.22081,4.4543,4.0,1.4014008138120522
51.22097,4.45427,4.0,1.4193241930312623
51.22118,4.45427,3.0,1.4427086238228157
51.2218,4.45429,3.0,1.5116993661237448
51.22232,4.4543,2.0,1.5695635618850396
51.22255,4.45432,2.0,1.5951897717550845
51.22261,4.45431,2.0,1.6019013843919452
51.22263,4.45422,2.0,1.6085709916348063
51.22325,4.45294,1.0,1.721509127291756
51.22345,4.4525,1.0,1.7594556430454853
51.22382,4.45171,0.0,1.8283125416414618
51.22421,4.45114,1.0,1.887212205455678
51.2249,4.45008,2.0,1.9938758397554697
51.22515,4.44982,3.0,2.027109338776201
51.22535,4.44973,3.0,2.0502310666733887
51.22568,4.44969,3.0,2.0870506225557315
51.22584,4.44963,3.0,2.1053378541264114
51.22595,4.44953,3.0,2.119429077190347
51.22605,4.4494,3.0,2.1337901879575836
51.22618,4.44908,3.0,2.160414821733374
51.2263,4.4488,3.0,2.184096241381468
51.22646,4.44823,4.0,2.227723095337039
51.22692,4.44757,3.0,2.2966115494950907
51.22727,4.44707,3.0,2.3489194258195973
51.22737,4.44691,3.0,2.3646893138529816
51.22745,4.44691,3.0,2.3735895282752515
51.22783,4.44633,4.0,2.4321534882151155
51.22793,4.44619,5.0,2.4469996853239833
51.22803,4.44605,5.0,2.4618121527997094
51.22824,4.44602,5.0,2.4852690211580017
51.2284,4.44577,5.0,2.510205291835762
51.22853,4.44558,5.0,2.529834839808703
51.22868,4.44536,4.0,2.552542679026789
51.22873,4.44529,4.0,2.5599488614006995
51.22896,4.44494,4.0,2.595339029855433
51.22927,4.44448,4.0,2.642475953665857
51.22951,4.44436,3.0,2.6704792553990657
51.22958,4.44428,3.0,2.680064377057999
51.22954,4.44419,3.0,2.687766610433718
51.22947,4.44397,4.0,2.705023449282928
51.22944,4.44386,4.0,2.713400631407798
51.22944,4.44371,4.0,2.7238782726937534
51.22947,4.4435,4.0,2.738921876303413
51.22944,4.44342,4.0,2.7454307948120835
51.22953,4.44337,4.0,2.756035178397527
51.22972,4.44322,4.0,2.7796274653163984
51.2298,4.44316,4.0,2.7894650776620162
51.22976,4.443,4.0,2.801494540670828
51.22976,4.44291,4.0,2.8077810818422786
51.22974,4.44279,4.0,2.816453436990035
51.22972,4.44272,4.0,2.821825440670074
51.22975,4.44254,5.0,2.834872358036954
51.22978,4.44234,5.0,2.849235607462938
51.22963,4.44227,5.0,2.8666250886766043
51.22948,4.4422,5.0,2.884014573946166
51.22929,4.44219,4.0,2.9051877613645414
51.22921,4.44208,4.0,2.9169458284821497
51.22903,4.44183,4.0,2.9435159558637314
51.22882,4.44161,3.0,2.971497903051822
51.22867,4.44137,3.0,2.9951523710481887
51.22851,4.44113,2.0,3.019624903486537
51.22806,4.44018,2.0,3.102751487093853
51.22796,4.44004,2.0,3.117563943451237
51.22753,4.43916,3.0,3.1954627838664917
51.22749,4.43908,3.0,3.2026064974401307
51.22742,4.43897,4.0,3.213592439542897
51.22732,4.43886,4.0,3.227113337722087
51.22729,4.43881,4.0,3.2319443272831396
51.22721,4.43867,4.0,3.24516757709285
51.22717,4.43856,4.0,3.254047159361965
51.22715,4.43848,4.0,3.260062185292604
51.22712,4.43835,4.0,3.2697371730516362
51.22708,4.4382,5.0,3.2811650153976095
51.22707,4.43803,5.0,3.2930922853725315
51.22704,4.43785,5.0,3.3061015295273046
51.22697,4.43736,5.0,3.3412050481478603
51.22695,4.43722,5.0,3.3512346341922723
51.22694,4.43706,5.0,3.362466624609424
51.2269,4.4368,5.0,3.3811661008379703
51.22689,4.43672,5.0,3.3868641493801586
51.22688,4.43663,5.0,3.3932487600878574
51.22687,4.43652,6.0,3.4010770467993154
51.22687,4.43644,6.0,3.4066654351498675
51.22693,4.43627,5.0,3.4203248986580816
51.22706,4.43609,6.0,3.4395154051628887
51.22721,4.43588,5.0,3.461756775654877
51.22732,4.43573,5.0,3.4778674882440144
51.22745,4.43555,5.0,3.497031851993987
51.22757,4.43539,5.0,3.514442998965466
51.2276,4.4353,5.0,3.5215608489857892
51.22764,4.43521,5.0,3.5292632996571447
51.22773,4.43502,5.0,3.5458887613390955
51.22775,4.43494,5.0,3.551903723034401
51.22783,4.43459,5.0,3.5779220471068602
51.22796,4.434,6.0,3.6216109731945023
51.22799,4.43377,6.0,3.6380202162831807
51.22805,4.43375,6.0,3.644840011456858
51.22807,4.43322,6.0,3.681928932896556
51.22811,4.43309,6.0,3.6920416011070185
51.22818,4.43294,6.0,3.7050966901108304
51.22824,4.4329,6.0,3.712333049262504
51.2283,4.43283,6.0,3.7206075226303112
51.22835,4.43273,6.0,3.7295370727627177
51.22839,4.43266,6.0,3.7361486125386203
51.22841,4.43258,6.0,3.742163501006697
51.22848,4.43228,6.0,3.764519512253817
51.2285,4.43221,6.0,3.769891637022446
51.22852,4.43206,6.0,3.7806031416417722
51.22854,4.43191,6.0,3.791314641820044
51.22858,4.43178,6.0,3.8014272271295315
51.22861,4.43164,6.0,3.8117603989892355
51.22867,4.43144,6.0,3.827243644322574
51.22854,4.43131,6.0,3.844320968698313
51.22865,4.43079,5.0,3.882663321370497
51.22873,4.43075,5.0,3.8919918155721662
51.22878,4.43071,5.0,3.8982167502449556
51.2288,4.43066,5.0,3.902357897635264
51.22882,4.43057,5.0,3.9090267137777888
51.22886,4.43043,5.0,3.91977089422608
51.22888,4.4303,5.0,3.929120259781872
51.2289,4.43022,5.0,3.9351350922443
51.22901,4.43,5.0,3.954779936149066
51.22907,4.42984,5.0,3.9677978612604528
51.22912,4.42972,5.0,3.9778578724939124
51.22922,4.42949,5.0,3.997399676245344
51.22929,4.42934,5.0,4.010454561790012
51.22931,4.42929,5.0,4.014595676727346
51.22933,4.42921,5.0,4.020610460866836
51.22933,4.42912,5.0,4.0268970616094775
51.22931,4.42906,5.0,4.031642156073035
51.22929,4.42899,5.0,4.037014202001353
51.22925,4.42861,5.0,4.063928115529064
51.22927,4.42835,5.0,4.082225229034279
51.22931,4.42814,6.0,4.09758672888625
51.22931,4.42812,6.0,4.098983752097735
51.22946,4.42744,5.0,4.149338630398374
51.22955,4.42699,5.0,4.182327739958954
51.22963,4.42658,5.0,4.212317649118757
51.22966,4.42633,5.0,4.230096399764811
51.22968,4.42616,5.0,4.242177668816166
51.22974,4.42607,4.0,4.251401470628278
51.22978,4.42601,5.0,4.257595677060513
51.22985,4.42595,5.0,4.266439479484756
51.22993,4.42584,5.0,4.278197479541107
51.23002,4.42567,4.0,4.29376216481063
51.23004,4.42558,4.0,4.300430823366126
51.23008,4.42545,4.0,4.3105431409276544
51.23011,4.42526,4.0,4.324227873968243
51.23013,4.42511,4.0,4.334939017735232
51.23017,4.42492,4.0,4.348936714716279
51.23019,4.42482,4.0,4.356267529515328
51.22931,4.42812,6.0,4.606711487648876
51.22946,4.42744,5.0,4.657066365949515
51.22955,4.42699,5.0,4.6900554755100945
51.22963,4.42658,5.0,4.7200453846698975
51.22966,4.42633,5.0,4.737824135315952
51.22968,4.42616,5.0,4.749905404367307
51.22974,4.42607,4.0,4.759129206179419
51.22978,4.42601,5.0,4.765323412611654
51.22985,4.42595,5.0,4.774167215035897
51.22993,4.42584,5.0,4.785925215092248
51.23002,4.42567,4.0,4.801489900361771
51.23004,4.42558,4.0,4.808158558917267
51.23008,4.42545,4.0,4.818270876478795
51.23011,4.42526,4.0,4.831955609519384
51.23013,4.42511,4.0,4.842666753286373
51.23017,4.42492,4.0,4.85666445026742
51.23019,4.42482,4.0,4.863995265066469
51.23017,4.42446,4.0,4.889239451650721
51.23015,4.4238,4.0,4.935394018689761
51.23013,4.42337,4.0,4.965511772368384
51.23011,4.42281,4.0,5.004690956771834
51.23009,4.42233,4.0,5.038292680098909
51.23008,4.42204,4.0,5.058579698206145
51.2301,4.42146,4.0,5.0991537300369725
51.23011,4.42096,4.0,5.134096412792109
51.23013,4.42067,5.0,5.154499248341
51.23016,4.42016,5.0,5.190278698499933
51.23017,4.41996,5.0,5.20429289876413
51.23019,4.41979,6.0,5.216415355957943
51.23031,4.4188,7.0,5.286850618558857
51.23032,4.41869,7.0,5.2946142066052815
51.23043,4.41861,7.0,5.308067433458627
51.23045,4.41801,6.0,5.350048043051474
51.2306,4.41715,4.0,5.412425445393542
51.23066,4.4165,4.0,5.458315467221581
51.23068,4.41572,4.0,5.5128431661456965
51.23068,4.41521,4.0,5.548466189127739
51.23067,4.41487,4.0,5.572240918065763
51.23066,4.41454,4.0,5.595317949590641
51.23065,4.4137,4.0,5.654001742304942
51.23062,4.41339,5.0,5.675933499049755
51.23048,4.41252,6.0,5.7386746222425336
51.23048,4.41244,6.0,5.744262573387378
51.23046,4.4123,7.0,5.754341169493629
51.23056,4.41227,7.0,5.765662075598158
51.23056,4.41223,7.0,5.768456046763297
51.23043,4.41197,7.0,5.791672215951923
51.23056,4.41172,7.0,5.8143461644510905
