latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
50.89384,4.73052,22.0,0.0
50.89384,4.73024,22.0,0.019700236550300607
50.89379,4.73017,22.0,0.027129621681475258
50.89374,4.73014,22.0,0.033078971690653214
50.89363,4.73011,22.0,0.04549680441783807
50.89358,4.73006,22.0,0.05207823802799232
50.89355,4.72996,22.0,0.05986548896472923
50.8935,4.7291,21.0,0.12063711558409837
50.89348,4.7288,21.0,0.14186160710531892
50.89345,4.72817,21.0,0.1863129510043094
50.89344,4.72789,21.0,0.20604473614632832
50.89342,4.72774,21.0,0.21683050400055243
50.89341,4.72764,21.0,0.22395377084215112
50.89341,4.72736,21.0,0.24365418571079994
50.89341,4.72719,21.0,0.25561515188098755
50.89352,4.72714,22.0,0.26838711713092844
50.89365,4.72697,22.0,0.28715450613893173
50.89378,4.72669,22.0,0.3115932584224323
50.89384,4.72638,21.0,0.33442464328649557
50.89389,4.72594,21.0,0.3658778768829039
50.89323,4.72468,19.0,0.48100389653577624
50.89317,4.72459,19.0,0.49020449049905107
50.89313,4.72454,19.0,0.495876989611263
50.89298,4.72427,19.0,0.5211621669525331
50.89302,4.72406,19.0,0.5365931355330665
50.89335,4.72368,19.0,0.5820085440383294
50.89389,4.72302,23.0,0.6580423022465768
50.89391,4.72296,23.0,0.6628142173150747
50.89391,4.72259,22.0,0.6888658355115055
50.89393,4.72244,22.0,0.6996514967355368
50.89395,4.72208,25.0,0.7252542274140383
50.89395,4.7217,22.0,0.7521579920670634
50.89377,4.72125,23.0,0.7896333249902284
50.89375,4.72096,22.0,0.8101824744087234
50.89383,4.72068,21.0,0.8318228365612192
50.89395,4.72027,21.0,0.8636087772240523
50.89408,4.71998,21.0,0.888618048416764
50.89403,4.71989,21.0,0.8970463422614295
50.894,4.7197,21.0,0.9108246124322327
50.89393,4.71959,21.0,0.9218036426811642
50.89371,4.71955,21.0,0.9464391761988802
50.89371,4.71929,21.0,0.964732301058221
50.89368,4.71895,21.0,0.9888857705567965
50.89367,4.71877,21.0,1.0015990175185228
50.89352,4.71766,22.0,1.0814658903484604
50.89351,4.71753,22.0,1.0906798965462103
50.89262,4.7179,21.0,1.1930595220850042
50.89245,4.71796,20.0,1.2124626794334115
50.89165,4.71794,20.0,1.301471050567129
50.8903,4.71825,20.0,1.4532296018036464
50.88949,4.71844,20.0,1.544325639912819
50.88922,4.71847,21.0,1.5744528860226632
50.8882,4.71862,22.0,1.688418561211809
50.88775,4.71869,22.0,1.7387212369353535
50.88739,4.71874,23.0,1.7789366689878754
50.88723,4.71873,22.0,1.7967780615804723
50.88702,4.71867,23.0,1.8205393357763304
50.88678,4.71851,23.0,1.8495153484673315
50.88633,4.71809,24.0,1.90765821711399
50.88616,4.71785,24.0,1.9330134410743531
50.88601,4.7176,24.0,1.9572610916832096
50.88571,4.71745,24.0,1.992264511613499
50.88537,4.71722,24.0,2.0334057558189675
50.88513,4.71695,24.0,2.0661754227720897
50.88492,4.71657,23.0,2.1016980593059365
