latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
50.73355,4.24102,36.0,0.0
50.73319,4.24197,38.0,0.07814194815090851
50.7329,4.24276,40.0,0.14260516769276937
50.73268,4.24341,42.0,0.19465212095573112
50.7333,4.24381,43.0,0.26918756833007623
50.73421,4.24472,43.0,0.3890848551392331
50.73375,4.24563,44.0,0.47122500175534565
50.73353,4.24607,45.0,0.5107839967890767
50.73349,4.24625,45.0,0.5242484477967062
50.73332,4.24812,49.0,0.6576774813970112
50.73322,4.24909,51.0,0.727085902384187
50.73313,4.25006,52.0,0.7963032208328948
50.73314,4.25023,52.0,0.8083566936783632
50.73321,4.25034,52.0,0.8193544038655278
50.73309,4.25056,52.0,0.839834821540143
50.73303,4.25255,51.0,0.9804913817841955
50.733,4.25369,52.0,1.061051139780402
50.73311,4.25421,51.0,1.0997618888512828
50.73371,4.25623,47.0,1.2572709518086491
50.73383,4.25679,46.0,1.2990113512072228
50.73387,4.25777,44.0,1.3683701720976604
50.73385,4.25784,44.0,1.3737898353755718
50.73452,4.2613,51.0,1.629274735698544
50.73458,4.26156,54.0,1.64903517544471
50.73454,4.26173,54.0,1.6618351927714867
50.73454,4.26205,54.0,1.6844265772767968
50.73467,4.26252,57.0,1.720746331452313
50.73507,4.26378,63.0,1.8203891308326932
50.73514,4.26389,67.0,1.8320914898162195
50.73582,4.26535,72.0,1.960040923361998
50.73608,4.26595,71.0,2.0113414718860727
50.73637,4.26726,69.0,2.109307732112884
50.73634,4.26752,68.0,2.127990281540105
50.736,4.26874,68.0,2.222056330366598
50.73562,4.27026,68.0,2.3373891585713586
50.73544,4.27245,65.0,2.493316167800701
50.73478,4.27234,67.0,2.5671740681768713
50.73434,4.27228,67.0,2.616304530012541
50.73406,4.27241,69.0,2.6488384655824144
50.73358,4.27271,70.0,2.7062915439240567
50.73327,4.27293,73.0,2.7442324309119472
50.73313,4.27301,74.0,2.7608293157370793
50.73256,4.27317,79.0,2.8254307842901434
50.73195,4.27338,81.0,2.894919549327273
50.73168,4.27368,86.0,2.932011163963368
50.73151,4.27375,87.0,2.9515834287714124
50.73124,4.27398,87.0,2.9857281372059283
50.73083,4.27439,90.0,3.0398322963546893
50.73031,4.27508,90.0,3.1154606975349584
50.73021,4.27521,91.0,3.1299175717348846
50.72976,4.27656,100.0,3.237956450494049
50.72934,4.27703,103.0,3.295343378803443
50.72877,4.2783,105.0,3.4051869774536776
50.72844,4.27895,108.0,3.464034484602897
50.72799,4.27943,103.0,3.5246949027007277
50.72763,4.27973,102.0,3.5700110951065667
50.72706,4.27977,100.0,3.6335150111474244
50.72668,4.27959,94.0,3.678063252969751
50.72667,4.27951,94.0,3.6838205776199517
50.72632,4.27921,93.0,3.7281569140294173
50.72639,4.27889,98.0,3.752574009682391
50.72576,4.27806,94.0,3.844021323649353
50.72477,4.27759,89.0,3.9591539690317954
