latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
50.86857,4.72223,38.0,0.0
50.86844,4.72179,37.0,0.03419887062751126
50.86837,4.72167,37.0,0.04568811671111054
50.8683,4.7216,35.0,0.055118070313039086
50.86829,4.72159,35.0,0.0564345594515813
50.86823,4.72161,35.0,0.06325621531523534
50.86777,4.72004,34.0,0.18505573838562678
50.86776,4.71998,34.0,0.1894236248485175
50.86752,4.72017,35.0,0.21930251832954709
50.86749,4.72015,35.0,0.22292474353152403
50.8675,4.72012,35.0,0.2253117588849502
50.86773,4.7199,34.0,0.255237318279872
50.86773,4.71985,34.0,0.25875719084295473
50.86732,4.72008,36.0,0.30719816418723955
50.86589,4.71769,36.0,0.5387507152829826
50.86587,4.71761,36.0,0.5448062876559007
50.86539,4.71685,36.0,0.6203979648392886
50.8652,4.7165,35.0,0.6528773966784307
50.86507,4.71631,33.0,0.67267826104149
50.86503,4.71625,33.0,0.6788137394816115
50.865,4.7162,33.0,0.6836644195357852
50.86485,4.71601,32.0,0.7050742239526431
50.86481,4.71595,32.0,0.7112097149948533
50.86475,4.71586,32.0,0.7204129561828928
50.86466,4.71577,31.0,0.7323037309318329
50.8644,4.71565,30.0,0.7624528919432603
50.86437,4.71549,30.0,0.7742012813970804
50.8643,4.71511,28.0,0.8021362329377816
50.86427,4.71487,28.0,0.819359293824938
50.86432,4.71407,30.0,0.8759906740717273
50.86419,4.71407,28.0,0.8905903162500027
50.86412,4.71406,28.0,0.8984093077558933
50.864,4.71401,28.0,0.9122151625365539
50.86322,4.71378,27.0,1.0004907888959076
50.86247,4.71356,28.0,1.0853568150532875
50.86234,4.71363,28.0,1.1006355017054128
50.86226,4.71382,28.0,1.1167025530401344
50.86259,4.72309,29.0,1.7703928574882557
50.8626,4.72335,29.0,1.78873196360341
50.86288,4.72522,31.0,1.9240385608914958
50.86305,4.72554,31.0,1.953453441546644
50.86305,4.72554,31.0,1.953453441546644
50.86302,4.7256,31.0,1.9588369901550386
50.86301,4.72569,31.0,1.9652703113643826
50.86296,4.72581,31.0,1.9753855101932574
50.86261,4.72635,32.0,2.029813825756242
50.86251,4.7265,32.0,2.0451529032562883
50.86242,4.72662,32.0,2.0582533947623247
50.86221,4.72687,33.0,2.0875207550192276
50.86213,4.7269,33.0,2.0966676609008084
50.86213,4.72717,33.0,2.1156772468878273
50.86215,4.72726,33.0,2.122393039183778
50.86227,4.72752,32.0,2.1450712548897615
50.86266,4.72849,30.0,2.226005211827276
50.86241,4.72899,31.0,2.270879550927354
50.86215,4.72942,32.0,2.3127619923132667
50.86192,4.7296,32.0,2.3413151414215125
50.86121,4.73022,34.0,2.4315820286389083
50.86107,4.73035,34.0,2.449646932554568
50.86085,4.73061,36.0,2.4802752572284477
50.86071,4.73083,36.0,2.502241059654307
50.86062,4.73098,35.0,2.516828130768623
50.86037,4.7314,35.0,2.557423164410634
50.86016,4.73109,36.0,2.589410257915573
50.85994,4.73076,39.0,2.623290192006436
50.8599,4.73073,39.0,2.6282159297266814
50.85984,4.73075,39.0,2.6350376325926685
50.85964,4.73115,38.0,2.6709434764476403
50.85898,4.73235,38.0,2.7828800674199927
50.85878,4.73261,37.0,2.8117100573223732
50.8584,4.73296,39.0,2.8606832986159363
50.85819,4.73314,39.0,2.887261533569785
50.85788,4.73341,39.0,2.9266409134204387
50.85772,4.73354,40.0,2.9466810572675532
50.85762,4.73368,42.0,2.961678825247601
50.85751,4.73382,43.0,2.9774243842366017
50.857,4.73448,44.0,3.050770487502578
50.85653,4.73503,46.0,3.1158676463141397
50.85632,4.73518,46.0,3.14150609930513
50.85613,4.73535,46.0,3.1657972106439844
50.85594,4.73548,48.0,3.1889177598207255
50.85575,4.73559,48.0,3.2114291028510036
50.85557,4.73567,48.0,3.232230736333258
50.85526,4.73581,47.0,3.2681124114677687
50.8546,4.73607,48.0,3.3437898299656315
50.85427,4.73616,49.0,3.3810575620237557
50.85405,4.73623,50.0,3.4060432364843747
50.8533,4.73648,51.0,3.4913209338452234
50.85308,4.73656,51.0,3.5164351408938614
50.8529,4.73664,50.0,3.5372608833748584
50.8528,4.7367,50.0,3.549160874698287
50.85266,4.73682,50.0,3.5668801949853517
50.85258,4.73772,49.0,3.6308881523642182
50.85258,4.73846,48.0,3.6830088614974974
50.85262,4.73921,47.0,3.7360207081004013
50.85271,4.73983,47.0,3.780814560375996
50.85267,4.74038,46.0,3.8198132998366887
50.85258,4.74078,45.0,3.849724617798205
50.85252,4.74135,44.0,3.890427732834842
50.85249,4.74209,43.0,3.9426552249131883
50.85246,4.74247,42.0,3.9696408667934264
50.85239,4.74306,42.0,4.011912482433232
50.85239,4.7432,42.0,4.021771372079773
50.85243,4.74353,42.0,4.045432374385894
50.85248,4.74366,42.0,4.0561443898598295
50.85282,4.74431,42.0,4.115522962486399
50.85305,4.74475,43.0,4.1557190880240755
50.85321,4.74507,45.0,4.184504695513358
50.85333,4.7453,45.0,4.205493632723462
50.85326,4.74538,45.0,4.215104974841811
50.85319,4.74594,47.0,4.255351102385912
50.85316,4.74609,47.0,4.266428718969725
50.8531,4.74628,47.0,4.2813809618309
50.85299,4.74639,48.0,4.295898177394794
50.85292,4.74643,48.0,4.30417920688398
50.85233,4.74664,51.0,4.371526733454053
50.85211,4.74672,51.0,4.396640962728585
50.85199,4.74675,51.0,4.4101566568288435
50.85186,4.74681,51.0,4.425223280599682
50.85167,4.74687,52.0,4.446801455798763
50.85157,4.74693,52.0,4.458701488106779
50.85093,4.74718,53.0,4.532050411382901
50.85036,4.74738,53.0,4.597006233014335
50.85009,4.74747,55.0,4.627769271080561
50.84988,4.74756,56.0,4.651996188826289
50.84979,4.74762,56.0,4.66286349281488
50.84975,4.74764,56.0,4.667530940457328
50.84956,4.74782,56.0,4.692177604230699
50.84935,4.7482,56.0,4.727701582359378
50.84906,4.74896,58.0,4.790228070132799
50.84892,4.74924,60.0,4.815435497697338
50.84869,4.74955,60.0,4.849070600708093
50.84848,4.7499,60.0,4.883031743809237
50.84814,4.75047,60.0,4.938187246070002
50.84794,4.75122,61.0,4.995511243516761
50.84765,4.75185,61.0,5.050369734470031
50.84699,4.75391,53.0,5.213169713443375
50.84674,4.75469,50.0,5.274816293701419
50.84654,4.75529,49.0,5.3225838126547
50.84644,4.7556,48.0,5.347108181052476
50.84619,4.75637,47.0,5.408062928984354
50.84595,4.75714,45.0,5.468543251032864
50.8458,4.75759,45.0,5.5043614712338
50.84526,4.75894,45.0,5.616830629657739
50.84513,4.75936,45.0,5.649757800281281
50.84488,4.75983,45.0,5.692993036305003
50.84471,4.75994,45.0,5.713430300269183
50.8446,4.76017,45.0,5.73373220945895
50.84449,4.76058,45.0,5.765095331398798
50.84435,4.76062,45.0,5.780922547053243
50.84368,4.76049,46.0,5.8560243843683075
50.84323,4.76041,47.0,5.906411167389943
50.84323,4.76041,47.0,5.906411167389943
50.84295,4.76229,50.0,6.042475808057093
50.84283,4.76252,50.0,6.06346752050803
50.84267,4.76272,50.0,6.086166924336854
50.84246,4.76308,50.0,6.120644963018611
50.84213,4.76328,50.0,6.159966237654041
50.84192,4.76353,51.0,6.189238209312472
50.84189,4.76363,51.0,6.197032513337197
50.84166,4.76485,54.0,6.286743854322278
50.84161,4.76553,55.0,6.334973257775308
50.84164,4.76643,56.0,6.3984622200920445
50.84166,4.76656,56.0,6.4078854560186596
50.84162,4.76721,56.0,6.453885230127994
50.84149,4.76794,57.0,6.507308753539801
50.84144,4.76945,57.0,6.613814354836116
50.8414,4.77015,59.0,6.6633612615744156
50.84136,4.77039,58.0,6.6808706697949045
50.84082,4.77232,65.0,6.8296619082986
50.84076,4.77287,69.0,6.869176795600656
50.84093,4.7736,74.0,6.924192027895555
50.84168,4.77559,82.0,7.087511718800193
50.84202,4.77645,80.0,7.158954482038856
50.84239,4.77755,77.0,7.246740593467038
50.8425,4.77875,75.0,7.332168435973533
50.84258,4.77998,74.0,7.419266161078898
50.84249,4.78154,73.0,7.529605790153921
50.84228,4.78238,72.0,7.59322512896598
50.842,4.78345,69.0,7.674830496201816
50.84179,4.78439,66.0,7.745105699970217
50.84172,4.78482,66.0,7.776378636655326
50.84155,4.78502,65.0,7.799981915617082
50.84149,4.78517,65.0,7.812479291059159
50.84127,4.78525,64.0,7.837613722807204
50.84091,4.78554,66.0,7.882615498162041
50.83859,4.78749,72.0,8.175044148218985
50.83601,4.78907,69.0,8.482899500546946
50.83588,4.78965,68.0,8.526253476445206
50.83578,4.79028,69.0,8.572018324129798
50.83531,4.79184,69.0,8.69371870634328
50.835,4.79251,70.0,8.752183176301957
50.83501,4.79257,70.0,8.756553947933833
50.83507,4.79263,70.0,8.76445450076278
50.83509,4.79272,70.0,8.77117378849133
50.83507,4.79282,70.0,8.77856148854094
50.83511,4.79289,70.0,8.78520368807309
50.83556,4.79406,66.0,8.881720839969645
50.83597,4.79547,66.0,8.991021184790133
50.83606,4.79623,64.0,9.045524642228221
50.83616,4.79753,65.0,9.137782292558486
50.83617,4.79858,65.0,9.211758245835359
50.83595,4.79909,67.0,9.25527547669764
50.83597,4.79933,68.0,9.272357500122375
50.83605,4.79955,67.0,9.290257042829097
50.83612,4.79973,67.0,9.305137506025568
50.83625,4.8003,68.0,9.347828023549784
50.83644,4.80068,68.0,9.381935952825668
50.83666,4.8009,69.0,9.410921632584834
50.83709,4.80173,70.0,9.486472106174599
50.83707,4.80188,70.0,9.497270408681382
50.83664,4.80229,72.0,9.553185151054718
50.83632,4.80272,74.0,9.599970219257372
50.83589,4.80349,74.0,9.672293018409045
50.83563,4.80409,74.0,9.723509747916376
50.83537,4.80512,76.0,9.801647641339033
50.83508,4.80582,73.0,9.86065232848441
50.8346,4.80668,72.0,9.941416725822135
50.83453,4.80688,71.0,9.95754610573591
50.83487,4.81166,69.0,10.296409042164182
50.83496,4.81287,67.0,10.382259483403844
50.83503,4.81327,68.0,10.411511635196629
50.83539,4.81573,66.0,10.589389311308445
50.83539,4.81588,65.0,10.600003497206979
50.83535,4.81647,65.0,10.641804468712529
50.83533,4.81656,65.0,10.648523717976659
50.83534,4.81657,65.0,10.649840473421278
50.8353,4.81695,65.0,10.676977501870711
50.83528,4.81737,65.0,10.70664862729212
50.83527,4.81769,64.0,10.729241131945834
50.83521,4.81799,64.0,10.751404142433774
50.83513,4.81834,65.0,10.777636602766883
50.83502,4.81869,64.0,10.805180859555277
50.83507,4.81881,64.0,10.8153003128194
50.83526,4.81981,64.0,10.888849735729393
50.83528,4.82,64.0,10.902418261935635
50.83529,4.82027,65.0,10.921497584147422
50.83526,4.82066,64.0,10.949191800118658
50.83526,4.8214,64.0,11.001322338416333
50.83526,4.82203,63.0,11.045715003721625
50.83529,4.8226,62.0,11.086020444612192
50.83536,4.82383,62.0,11.173018923972647
50.83539,4.82447,62.0,11.218228023095689
50.83544,4.82508,63.0,11.26157037471439
50.83319,4.82731,66.0,11.557105953888962
50.83315,4.82735,66.0,11.562373044837386
50.83244,4.82816,67.0,11.659820456146104
50.83215,4.8286,66.0,11.70457205971676
50.83213,4.82864,66.0,11.708162564664754
50.83222,4.82884,66.0,11.72544778902427
50.83236,4.82912,65.0,11.750601158234323
50.83247,4.82937,64.0,11.772071015675728
50.8326,4.82964,64.0,11.795966098649608
50.83274,4.82973,63.0,11.812811470411445
50.83292,4.82984,62.0,11.834306313156167
50.83331,4.83007,62.0,11.880619354265438
50.83371,4.83031,61.0,11.928232250990936
50.83402,4.83095,60.0,11.985005132344634
50.83434,4.83166,59.0,12.04640625669092
50.83439,4.83175,59.0,12.054840643081102
50.83443,4.8318,59.0,12.060515886644241
50.83445,4.83187,59.0,12.06592592275568
50.83447,4.83196,59.0,12.07264527809916
50.83449,4.83217,59.0,12.08760568566634
50.83449,4.8325,59.0,12.110853452211927
50.83449,4.8325,59.0,12.110853452211927
50.83448,4.83251,59.0,12.112170213127424
50.83445,4.83255,59.0,12.116538137546938
50.83436,4.8326,59.0,12.12715182951277
50.83417,4.83272,59.0,12.149916475909144
50.8337,4.83302,59.0,12.206312068223754
50.83322,4.83332,58.0,12.263749338953247
50.8333,4.83356,58.0,12.282856452872934
50.83336,4.83384,58.0,12.303681010248484
50.83274,4.83401,58.0,12.373685671074025
50.83259,4.83404,58.0,12.390505896844475
50.83235,4.83402,58.0,12.41724210974931
50.83234,4.83408,58.0,12.421613105386545
50.83233,4.83417,59.0,12.428127755714689
50.83229,4.83422,59.0,12.433803096120279
50.83219,4.83423,59.0,12.444949991087984
50.83205,4.83426,59.0,12.460667199079797
50.83178,4.8343,60.0,12.490852121866848
50.83161,4.83432,60.0,12.509816376885603
50.83157,4.83433,60.0,12.51432164727663
50.83148,4.83437,60.0,12.524722837223598
50.83146,4.8344,60.0,12.527791624569264
50.8314,4.83446,60.0,12.535692335952644
50.83127,4.8346,60.0,12.553197620610899
50.83105,4.83484,61.0,12.582961471962854
50.83064,4.83525,65.0,12.637097858255192
50.83061,4.83528,65.0,12.641048236103451
50.83055,4.83525,64.0,12.648120710985534
50.83051,4.83523,64.0,12.65278832527212
50.83045,4.83521,65.0,12.659683109119806
