latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
50.85901,5.39001,55.0,0.0
50.85904,5.39008,54.0,0.006035796341101176
50.85911,5.3901,54.0,0.013949356143844757
50.85921,5.39019,55.0,0.02679127466796473
50.85939,5.38996,56.0,0.052564011534497745
50.85957,5.38972,56.0,0.07876578100521005
50.85962,5.38969,56.0,0.08471568012760124
50.85984,5.38942,56.0,0.11570588371444598
50.85987,5.38947,56.0,0.12055686117510561
50.85992,5.38954,56.0,0.12798863299920094
50.85996,5.38948,56.0,0.1341244486081397
50.86037,5.3886,56.0,0.21106217146816653
50.8606,5.38901,56.0,0.249636957128107
50.86091,5.38948,56.0,0.2974322018124763
50.86126,5.38995,55.0,0.348540820648352
50.86158,5.39042,55.0,0.39714453832471186
50.86165,5.39051,55.0,0.4071841693126077
50.86159,5.39061,55.0,0.4168859312143017
50.86153,5.39072,55.0,0.4271101333208287
50.86138,5.39098,54.0,0.45190044923739425
50.86125,5.39134,54.0,0.48108268919324415
50.8613,5.39138,54.0,0.487317351598371
50.86148,5.39154,54.0,0.5102929816357265
50.86179,5.39187,53.0,0.5518879920237074
50.86223,5.39226,53.0,0.6080121452616034
50.86261,5.39253,52.0,0.6543740596256811
50.86318,5.39295,51.0,0.7243475164904392
50.86375,5.3934,51.0,0.7952321697585472
50.86428,5.3938,51.0,0.860572968437406
50.86486,5.39419,50.0,0.9307021463763367
50.86519,5.3944,49.0,0.9702913036295941
50.86559,5.39461,50.0,1.0171922778605162
50.86596,5.39479,49.0,1.0602716125772567
50.86651,5.395,48.0,1.1232259172909953
50.86722,5.39525,47.0,1.2041542136612537
50.86787,5.39549,46.0,1.2784188146172275
50.86808,5.39551,46.0,1.3018229780623398
50.86831,5.39551,46.0,1.3274096856486457
50.86918,5.39546,46.0,1.424258179347592
50.86953,5.39546,45.0,1.4632073175983602
50.86971,5.39544,46.0,1.4833060262544602
50.86985,5.3954,45.0,1.4991645983744903
50.87007,5.39531,45.0,1.524445559528684
50.87033,5.3952,44.0,1.554404916047015
50.87054,5.39508,44.0,1.5792469807695295
50.87074,5.39496,44.0,1.603045863474072
50.87087,5.39485,44.0,1.6194503902849278
50.871,5.39476,43.0,1.6352708703177175
50.87107,5.39472,43.0,1.643551545726032
50.87124,5.39462,42.0,1.6637557867456616
50.87146,5.39443,42.0,1.6916460284279387
50.87181,5.39399,43.0,1.7414086698171696
50.87236,5.3934,43.0,1.8153578249357358
50.8729,5.3928,44.0,1.888798307256364
50.87317,5.39251,44.0,1.9251147778709734
50.87324,5.39248,44.0,1.9331832756787706
50.87332,5.39254,44.0,1.9430342597064751
50.87364,5.39299,43.0,1.9906954454971453
50.87364,5.39299,43.0,1.9906954454971453
50.87377,5.39316,43.0,2.0094661032463996
50.8747,5.39452,40.0,2.1504503332669596
50.8757,5.39121,44.0,2.408657313948826
50.8758,5.39088,43.0,2.434430581845758
50.87589,5.39027,43.0,2.478517571168065
50.87616,5.38803,43.0,2.639015762586321
50.87634,5.38635,43.0,2.7589456173477096
50.87648,5.3852,41.0,2.8413967864272682
50.87661,5.38407,39.0,2.922259873060619
50.87673,5.38305,38.0,2.9952890595243815
50.87675,5.38292,38.0,3.004705596944789
50.87677,5.38279,38.0,3.014122130561488
50.87685,5.38291,37.0,3.026432329884172
50.87774,5.38398,37.0,3.150828676259723
50.87782,5.38406,38.0,3.161407365581839
50.87912,5.38467,38.0,3.312265992104669
50.87955,5.38482,38.0,3.3612531129292536
50.87976,5.38483,38.0,3.384625505057178
50.88053,5.38461,37.0,3.471679245236963
50.88061,5.3846,37.0,3.4806067598051094
50.88061,5.38455,37.0,3.4841256640059624
50.88061,5.38455,37.0,3.4841256640059624
50.88082,5.38345,38.0,3.5649957320024317
50.88088,5.38332,38.0,3.5763208843898324
50.88095,5.38324,38.0,3.5859302958099177
50.88151,5.38274,38.0,3.657479534066082
50.88105,5.38231,38.0,3.7169313732893494
50.87956,5.38092,37.0,3.9094060677632445
50.87964,5.38018,37.0,3.96224190941047
50.87966,5.3797,37.0,3.9960972728733286
50.8796,5.37941,37.0,4.017571070242736
50.87957,5.37913,37.0,4.037557974074144
50.87973,5.37859,37.0,4.079524587859712
50.87972,5.37813,37.0,4.111918227606204
50.87974,5.37791,37.0,4.127560739261833
50.87979,5.37768,37.0,4.14467700801147
50.8797,5.37761,37.0,4.155835638201551
50.87931,5.37755,39.0,4.199472699177301
50.87917,5.37758,38.0,4.2152214763812905
50.87911,5.37777,38.0,4.230167051862679
50.87902,5.37792,38.0,4.244716816724939
50.87886,5.37785,38.0,4.2631855081353045
50.87872,5.37781,38.0,4.279012428759985
50.87874,5.37724,39.0,4.319203653741498
50.8789,5.3768,39.0,4.354922138909376
50.87905,5.3766,39.0,4.376753144626199
50.87923,5.37592,40.0,4.428641718945207
50.87943,5.37526,39.0,4.480155910982495
50.87972,5.37475,39.0,4.528417270801551
50.88011,5.37388,39.0,4.603460312862381
50.88011,5.37388,39.0,4.603460312862381
50.88019,5.37375,38.0,4.616263198633904
50.88044,5.37339,38.0,4.653885204486031
50.88075,5.37262,38.0,4.718119127655144
50.88113,5.37141,38.0,4.813191546387803
50.88118,5.37116,37.0,4.831671252581223
50.88131,5.3707,37.0,4.8671281760244565
50.88241,5.37148,38.0,5.0012513788176856
50.88241,5.37156,39.0,5.006969529780949
50.88238,5.37199,40.0,5.037430857701969
50.88249,5.37204,40.0,5.050163858709746
50.88256,5.37176,40.0,5.071351854694284
50.88268,5.37152,40.0,5.092880552631872
50.88289,5.37114,41.0,5.128404243064591
50.88309,5.37077,40.0,5.16266852611892
50.8832,5.37066,40.0,5.177148628911072
50.88359,5.37064,40.0,5.220557681794026
50.8841,5.37123,41.0,5.290870445599584
50.88422,5.37137,41.0,5.307461943273854
50.88445,5.3714,43.0,5.333213438135796
50.8849,5.37191,43.0,5.394810382217387
50.88497,5.37179,44.0,5.406340903370884
50.88508,5.37176,44.0,5.418758827502372
50.8852,5.37153,47.0,5.439952694852777
50.88637,5.37212,51.0,5.576631645358123
50.887,5.37236,49.0,5.648751094448807
50.88642,5.37924,49.0,6.13717071641557
50.88629,5.38074,48.0,6.243715870710467
50.88648,5.3806,48.0,6.267035946029598
50.88664,5.38051,49.0,6.285955049077428
50.88674,5.38048,49.0,6.297278276898761
