latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
50.78323,2.82586,60.0,0.0
50.78334,2.82574,60.0,0.014878355293172291
50.78355,2.82589,57.0,0.040698259161516245
50.78358,2.82589,57.0,0.04403561288602401
50.7837,2.82585,57.0,0.057679833657050435
50.78392,2.82572,56.0,0.08383375371334847
50.78398,2.8258,56.0,0.0925734785886543
50.78417,2.82606,56.0,0.12055505583139757
50.78426,2.82617,56.0,0.13322080942729458
50.78426,2.82621,56.0,0.13604174271448322
50.78434,2.82621,54.0,0.14516331206193034
50.78441,2.82629,54.0,0.1547794590414741
50.7847,2.82588,54.0,0.1981017182100407
50.78505,2.82541,55.0,0.24924486279567712
50.78536,2.82501,55.0,0.29379839756085824
50.78557,2.82467,55.0,0.32727480884411236
50.78632,2.8249,54.0,0.41227650107740926
50.78652,2.82495,54.0,0.43480319246558485
50.78726,2.82512,53.0,0.5179989313466503
50.78752,2.8252,52.0,0.5474846666234146
50.78761,2.82522,52.0,0.5575955757400693
50.78775,2.82522,50.0,0.5732977809838021
50.78793,2.82518,50.0,0.5935195915011812
50.78838,2.82492,50.0,0.6468317619664565
50.7898,2.82421,47.0,0.8125711156131503
50.79003,2.82409,47.0,0.8395203948123744
50.79007,2.82405,47.0,0.8447888313009403
50.79012,2.82396,47.0,0.8532276820780477
50.7902,2.82366,47.0,0.8761777953643852
50.79042,2.82265,49.0,0.9515114480795487
50.79051,2.82278,49.0,0.9650861213739478
50.79138,2.82364,46.0,1.0793374522840464
50.79168,2.82393,44.0,1.1185284644976294
50.79228,2.8246,42.0,1.2003272617542462
50.79256,2.82479,42.0,1.2342347441906436
50.79338,2.82535,39.0,1.333680057032403
50.79445,2.82619,35.0,1.4666932512453594
50.79466,2.82642,35.0,1.4951316034361435
50.79478,2.8267,35.0,1.5189634171970012
50.79523,2.82768,33.0,1.604312066141304
50.79527,2.82773,33.0,1.6099890923983475
50.79672,2.82985,32.0,1.8299028909275488
50.79692,2.83016,34.0,1.8611553363563504
50.79696,2.83031,34.0,1.8726289613433127
50.79705,2.83029,34.0,1.8827398184228723
50.79718,2.83022,34.0,1.8980205859429038
50.79789,2.82934,34.0,1.9984584542295603
50.79812,2.82917,34.0,2.026712858347115
50.79849,2.82909,33.0,2.068270172640037
50.79865,2.82906,33.0,2.086194594603372
50.79898,2.82909,33.0,2.122966320536273
50.79907,2.82911,33.0,2.1330771710052794
50.79918,2.8292,33.0,2.146861321201056
50.79925,2.82928,33.0,2.1564764048648155
50.79934,2.82941,32.0,2.170086674797823
50.80007,2.82825,30.0,2.2853550971630523
50.80012,2.82821,30.0,2.291591348671081
50.80027,2.82813,29.0,2.3092338031019963
50.80039,2.8281,29.0,2.3227496982840465
50.80052,2.82804,29.0,2.337817451181581
50.80058,2.82798,29.0,2.3457195864064766
50.80063,2.82788,29.0,2.3546995034382174
50.80068,2.82775,29.0,2.365420135050775
50.80077,2.82761,29.0,2.3794790532798755
50.80082,2.82757,29.0,2.385715285358477
50.80106,2.82716,29.0,2.4250634201818366
50.80215,2.8252,32.0,2.6089229797328883
50.80226,2.82506,33.0,2.6246757300927035
50.80229,2.8252,33.0,2.6350941606444365
50.80232,2.82528,32.0,2.641723175550334
50.8029,2.82595,32.0,2.7216854369001013
50.80316,2.82608,32.0,2.752026271468283
50.80383,2.82638,31.0,2.8295091312651257
50.80529,2.82719,31.0,3.0016713585548036
50.80548,2.82726,31.0,3.0233762578985104
50.80655,2.82726,31.0,3.1424085158628174
50.80668,2.82733,31.0,3.1576889754674724
50.80737,2.82836,30.0,3.2633498792054807
50.80806,2.82945,30.0,3.371954976538979
50.80859,2.83026,29.0,3.4540344160979255
50.80883,2.83059,28.0,3.4894586495875792
50.80904,2.83076,28.0,3.515713956479005
50.80895,2.8309,28.0,3.5297716596675954
50.80883,2.83125,28.0,3.557821972707114
50.80788,2.83394,26.0,3.7749039335368506
50.80843,2.83459,26.0,3.8513417288367933
50.80883,2.83518,26.0,3.9122477849658748
50.80948,2.83617,26.0,4.0127364870734485
50.80965,2.83636,26.0,4.035909755032781
50.81003,2.83678,25.0,4.087527429727451
50.81042,2.8372,25.0,4.140050385190817
50.81067,2.83741,26.0,4.171571045368692
50.81192,2.83849,26.0,4.330098877865561
50.813,2.83943,27.0,4.467303309940516
50.81372,2.84004,27.0,4.558208719572098
50.81412,2.84037,27.0,4.6084183490784945
50.81428,2.84046,27.0,4.627314021955359
50.81429,2.84117,27.0,4.677365649979718
50.81431,2.84158,28.0,4.706364332272459
50.8144,2.84223,28.0,4.753256190725716
50.8145,2.843,29.0,4.8086614636934755
50.8146,2.84354,29.0,4.848311852025693
50.81473,2.84372,29.0,4.867549272057846
50.81557,2.8444,28.0,4.972572455432553
50.81632,2.84501,27.0,5.066435952466828
50.81739,2.84587,27.0,5.200009888335767
50.81754,2.84608,27.0,5.222313909554287
50.81859,2.84748,26.0,5.375215801261194
50.81748,2.85033,28.0,5.61099298116009
50.81726,2.85089,28.0,5.657430686108312
50.81735,2.85104,28.0,5.671990478876146
50.81737,2.85112,28.0,5.678051472325817
50.81737,2.8512,28.0,5.683689328685695
50.81686,2.8524,29.0,5.785530723352975
50.81683,2.85255,30.0,5.796661138986447
50.81683,2.85293,30.0,5.823441273901439
50.81677,2.85325,32.0,5.847044907407048
50.81677,2.85344,32.0,5.860434996211737
50.81692,2.85349,30.0,5.877606648480671
50.81698,2.85356,30.0,5.885906529331783
50.81698,2.85366,30.0,5.892953910681958
50.81655,2.8558,34.0,6.051223642317591
50.81668,2.85578,35.0,6.065788433282555
50.81716,2.85552,34.0,6.1222513714667715
50.81737,2.85546,33.0,6.146013532412846
50.81772,2.85539,31.0,6.185311591441423
50.81788,2.8554,31.0,6.203124789384997
50.81797,2.85544,31.0,6.213526131306205
50.81917,2.85595,32.0,6.351777623167053
50.81934,2.85608,30.0,6.372886377139814
50.81969,2.85645,32.0,6.419788945018989
50.81977,2.8565,32.0,6.4293606934772605
50.82136,2.85739,29.0,6.617054574902142
50.82254,2.85808,29.0,6.757039457996742
50.82413,2.85941,32.0,6.957235801182537
50.82442,2.85968,33.0,6.994702237619461
50.82474,2.86,34.0,7.036852783774422
50.82574,2.86102,34.0,7.169295061994128
50.82707,2.86237,32.0,7.3452014531381735
50.82816,2.86346,32.0,7.488733694987163
50.82838,2.8637,31.0,7.518497994302407
50.82943,2.8652,30.0,7.676023010373329
50.83024,2.86627,30.0,7.793507913472018
50.83105,2.86717,28.0,7.9037085238959826
50.83115,2.86728,28.0,7.9172663539962045
50.83127,2.86739,28.0,7.932702253060715
50.83142,2.86745,28.0,7.9499161697987475
50.83189,2.86747,28.0,8.002220556176328
50.83201,2.86753,28.0,8.016223284365127
50.83207,2.86756,28.0,8.023224647332436
50.83216,2.86768,28.0,8.036328627705071
50.83256,2.86835,28.0,8.101198604798148
50.83277,2.86872,28.0,8.136201873037193
50.83282,2.86874,28.0,8.141939835911415
50.83297,2.86929,28.0,8.184127656978552
50.83292,2.86941,28.0,8.194247368995496
50.83262,2.86973,29.0,8.234534268798669
50.83254,2.86983,29.0,8.245884871337505
50.83248,2.86988,29.0,8.253432071918427
50.83238,2.86997,30.0,8.26627568375424
50.83227,2.87012,31.0,8.282475032436434
50.83224,2.87026,30.0,8.292935389938972
50.83224,2.87044,29.0,8.305655908498574
50.83221,2.87057,29.0,8.315403635425302
50.83219,2.87088,30.0,8.337379216671593
50.83221,2.87117,28.0,8.358027852320628
50.8323,2.87142,28.0,8.378287401723187
50.83243,2.87155,28.0,8.395405427919759
50.83256,2.87164,28.0,8.411196236577888
50.83259,2.87195,28.0,8.433289359692282
50.83262,2.87217,28.0,8.449143661365573
50.83271,2.87245,29.0,8.47128771987614
50.83285,2.87262,29.0,8.49093455125998
50.83313,2.87275,29.0,8.523401809747524
50.83324,2.87275,29.0,8.535638824310425
50.83366,2.87248,27.0,8.586125051517717
50.83383,2.87239,27.0,8.606071339523746
50.83402,2.8723,26.0,8.628161115191697
50.83461,2.8719,24.0,8.699617365201872
50.83519,2.87156,23.0,8.768449292204568
50.83552,2.87125,23.0,8.811164744453787
50.8356,2.87121,23.0,8.82049982892023
50.83565,2.87123,23.0,8.82623776900186
50.83595,2.87251,23.0,8.922385843497757
50.83601,2.8726,22.0,8.93164588814992
50.83638,2.87426,22.0,9.055616844618871
50.83644,2.87448,22.0,9.072490889629384
50.83654,2.87456,22.0,9.084961458357027
50.83683,2.87475,22.0,9.119888907778453
50.83672,2.8751,22.0,9.147414022097058
50.83644,2.87567,23.0,9.198242409667621
50.83619,2.87608,23.0,9.23833805030861
50.83589,2.87648,24.0,9.282027892397078
50.83645,2.87773,22.0,9.389911390881927
50.83668,2.8782,22.0,9.431754668507011
50.83702,2.879,21.0,9.49963328894668
50.83653,2.8792,22.0,9.55594374487253
50.83557,2.87969,23.0,9.668183754528718
50.83484,2.88011,23.0,9.754614976596267
50.83389,2.88065,24.0,9.866940917291089
50.83331,2.88102,25.0,9.936536736793887
50.83067,2.88263,21.0,10.251392550899
50.82761,2.88446,21.0,10.61540265616222
50.82511,2.88595,20.0,10.91267323456929
50.82511,2.88595,20.0,10.91267323456929
50.82183,2.88785,23.0,11.301355554162573
50.8216,2.88801,24.0,11.329333803212126
50.82136,2.88828,24.0,11.362118270406231
50.82111,2.88876,24.0,11.405908158955345
50.82101,2.88899,24.0,11.425566230008853
50.82087,2.88934,25.0,11.454752861690016
50.82076,2.88974,24.0,11.485497966861233
50.82065,2.89039,24.0,11.532908691233123
50.82067,2.89062,24.0,11.549268378099441
50.82086,2.89049,24.0,11.572304804841444
50.8208,2.89098,24.0,11.607473316019567
50.82029,2.89546,24.0,11.928229170482377
50.82031,2.89587,25.0,11.957224150181375
50.82027,2.89605,25.0,11.970666408447487
50.82018,2.89635,25.0,11.994058057269447
50.8198,2.89937,30.0,12.211090693697097
50.8198,2.89937,30.0,12.211090693697097
50.81979,2.89936,30.0,12.21240756455865
50.81972,2.8993,30.0,12.221268578857526
50.81965,2.89925,30.0,12.229815803163056
50.81959,2.8993,30.0,12.237363444637703
50.81958,2.8993,30.0,12.238475898074503
50.81958,2.8993,30.0,12.238475898074503
50.81957,2.89943,30.0,12.247704282908824
50.81947,2.90039,33.0,12.316329650873215
50.81939,2.90096,35.0,12.357520322799532
50.81928,2.90168,39.0,12.40986681005252
50.81923,2.90189,39.0,12.425676410301147
50.81904,2.9028,39.0,12.493198241855456
50.81894,2.90309,39.0,12.516466427606783
50.81885,2.90329,39.0,12.533754824586161
50.81879,2.90339,40.0,12.54351258277391
50.81837,2.90402,38.0,12.60799627178675
50.81811,2.90443,39.0,12.648891542788427
50.81785,2.90482,39.0,12.688791052612169
50.81746,2.90535,39.0,12.74603956002873
50.81693,2.90616,40.0,12.828111672288555
50.81677,2.90649,42.0,12.857466013470198
50.81653,2.90691,42.0,12.897327634440408
50.81641,2.90695,42.0,12.910971488637953
50.81604,2.90738,42.0,12.96208473251601
50.81602,2.90747,42.0,12.968806423486658
50.81599,2.90765,42.0,12.981923656396848
50.81595,2.90784,43.0,12.996069400948148
50.81563,2.90889,44.0,13.078192416505564
50.81526,2.91014,45.0,13.17543441533288
50.81485,2.91138,48.0,13.274057845646182
50.81471,2.9118,48.0,13.307505557747424
50.81471,2.91195,48.0,13.318077171988747
50.81434,2.91327,51.0,13.419850982616985
50.81417,2.91382,52.0,13.46299288049433
50.814,2.9144,52.0,13.508033116267372
50.81343,2.91623,53.0,13.651757758407083
50.81312,2.91725,54.0,13.731497066891402
50.8131,2.91736,54.0,13.739562795505588
50.8131,2.91733,54.0,13.741677193027018
50.81301,2.91732,54.0,13.751714076834938
50.81276,2.91777,54.0,13.793896845556253
50.8125,2.91822,53.0,13.83683298515106
50.81232,2.9184,54.0,13.860558880452345
50.81226,2.91841,54.0,13.867270726536962
50.81192,2.91805,53.0,13.91282753559428
50.81176,2.91787,53.0,13.934685437961754
50.8114,2.91751,52.0,13.982105835330568
50.81115,2.91723,53.0,14.01622253871527
50.81095,2.91703,52.0,14.042580405654716
50.80987,2.9159,54.0,14.186741760679892
50.80821,2.91412,54.0,14.409998635248167
50.80821,2.91412,54.0,14.409998635248167
50.80812,2.9142,54.0,14.421489514453466
50.80657,2.91549,54.0,14.61642697617656
50.8064,2.91634,53.0,14.679265078486198
50.80629,2.91688,53.0,14.71924833726441
50.80613,2.91769,53.0,14.779055491537363
50.80612,2.91783,53.0,14.788986651302713
50.80604,2.91775,53.0,14.799522522095701
50.80561,2.91687,54.0,14.87786283407298
50.80537,2.9164,54.0,14.920412706544615
50.80508,2.91579,57.0,14.974253062834924
50.80478,2.91518,57.0,15.028684895069865
50.80455,2.91532,58.0,15.056126910652342
50.80365,2.91588,63.0,15.163865498485784
50.80282,2.91342,64.0,15.360334648813994
50.8019,2.91387,64.0,15.467484366439532
50.80153,2.91414,61.0,15.512932339736432
50.80102,2.91464,60.0,15.579733307431425
50.80091,2.91468,58.0,15.592449292381978
50.80076,2.91472,56.0,15.609490476193416
50.79999,2.9146,52.0,15.695659066878902
50.7996,2.9146,51.0,15.739056272264111
50.79911,2.91477,49.0,15.794904319012332
50.79842,2.91485,48.0,15.87187698273904
50.79834,2.91485,48.0,15.88077660283556
50.79833,2.91481,48.0,15.88380817294415
50.79833,2.91481,48.0,15.88380817294415
50.79823,2.91483,48.0,15.89502170388874
50.79811,2.91492,48.0,15.909802398856472
50.79797,2.91502,48.0,15.9268981857814
50.79759,2.91538,44.0,15.97636755637106
50.79661,2.91624,39.0,16.10121468431355
50.79628,2.91653,38.0,16.143247323005628
50.79621,2.91653,38.0,16.15103447550687
50.79615,2.9165,38.0,16.15803629903682
50.79597,2.91632,38.0,16.181743376006683
50.79587,2.91622,38.0,16.19491398537327
50.79548,2.91597,38.0,16.24174346267434
50.795,2.91575,40.0,16.297384371601698
50.79479,2.91569,41.0,16.32114682952121
50.79359,2.91552,44.0,16.455211537195474
50.79299,2.91558,47.0,16.522159790394632
50.79209,2.91554,50.0,16.62236505980479
50.79162,2.91556,51.0,16.674678863144145
50.79158,2.91555,51.0,16.679184191029695
50.791,2.91533,52.0,16.745552567615622
50.79064,2.91529,52.0,16.785700031137072
50.79052,2.91524,52.0,16.799507185541163
50.79023,2.91533,52.0,16.832386565083898
50.78984,2.91588,51.0,16.890588234302218
50.78975,2.91604,50.0,16.90570556643338
50.78939,2.91713,49.0,16.992380673658708
50.78935,2.91721,49.0,16.999565686118604
50.78933,2.91724,49.0,17.002635766733786
50.78875,2.91731,48.0,17.067354178018807
50.78873,2.9174,48.0,17.07407935927142
50.78886,2.91957,49.0,17.227785129615608
50.78894,2.92077,50.0,17.31287725001631
50.78903,2.92205,49.0,17.403697020968398
50.78903,2.92262,49.0,17.443891186131914
50.78879,2.92618,48.0,17.696346799307026
50.78861,2.92616,47.0,17.716445406837693
50.78845,2.9261,47.0,17.734740575862876
50.78827,2.92666,46.0,17.77902815474371
50.78823,2.92672,46.0,17.785168380276218
50.78763,2.92696,45.0,17.854034864994386
50.78756,2.927,45.0,17.86231714737979
50.7866,2.92756,42.0,17.976219360891108
50.78656,2.9276,42.0,17.981487902795582
50.78651,2.92769,42.0,17.98992710720022
50.78649,2.92775,42.0,17.99470760181289
50.78628,2.92895,41.0,18.08250266343049
