latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
51.19561,4.84407,40.0,0.0
51.19587,4.84439,40.0,0.03656579670101774
51.19608,4.84447,40.0,0.060588814541754236
51.19609,4.84446,40.0,0.06190271840566146
51.19619,4.84431,39.0,0.07722304297125998
51.19628,4.84387,38.0,0.10958396416111486
51.19667,4.84379,38.0,0.1533313991192148
51.19671,4.84403,38.0,0.17068780257839686
51.19673,4.84445,39.0,0.20014733069971657
51.19741,4.84404,37.0,0.2810704233561297
51.19751,4.84544,37.0,0.37956037539964904
51.19806,4.84536,35.0,0.4410368827204895
51.1984,4.84506,35.0,0.48428641272684353
51.19852,4.84495,35.0,0.49969253912663014
51.19864,4.84489,33.0,0.5138282978173043
51.19892,4.84488,33.0,0.5449868826527683
51.19972,4.84471,32.0,0.6347842737572804
51.20014,4.84455,32.0,0.6828300571404348
51.2003,4.84432,31.0,0.706836130591829
51.20043,4.84389,31.0,0.7401899040256392
51.2009,4.84361,30.0,0.7960300229328183
51.20109,4.84357,29.0,0.8173755477367429
51.20141,4.84347,29.0,0.8536560047494864
51.20187,4.84317,25.0,0.9091056177643544
51.20195,4.84297,25.0,0.9256771003949511
51.20195,4.84286,25.0,0.9333653062138195
51.20187,4.84272,25.0,0.9465925451272538
51.20184,4.84255,27.0,0.9590952076956857
51.20169,4.84213,26.0,0.9928769647272015
51.20162,4.84189,27.0,1.0113979732524052
51.20156,4.84181,27.0,1.02010556899418
51.20148,4.84156,26.0,1.0397405395661672
51.20145,4.8414,27.0,1.0514537000864939
51.20149,4.84117,27.0,1.0681337929509311
51.2017,4.84111,26.0,1.0918912795391593
51.20233,4.84099,22.0,1.162593667311349
51.20303,4.84106,19.0,1.2406816005090362
51.20351,4.84115,18.0,1.2944612786022025
51.20437,4.84133,14.0,1.391044766500952
51.20448,4.84126,14.0,1.4042241751317783
51.20472,4.84171,14.0,1.4454796832276324
51.20488,4.84171,13.0,1.4633081393765015
51.20563,4.8419,12.0,1.547803359363675
51.20583,4.84188,12.0,1.570097702510531
51.20603,4.84176,11.0,1.5938971901083931
51.20714,4.84088,10.0,1.7318573013962126
51.20777,4.84036,10.0,1.8108069978538057
51.20787,4.84062,10.0,1.8321121988013453
51.2084,4.83998,10.0,1.9061194926559983
51.21015,4.83776,9.0,2.1550640135242656
51.21018,4.83773,9.0,2.1590053727597134
51.21018,4.83764,9.0,2.165294586263095
51.2102,4.83755,9.0,2.171965795518478
51.21083,4.8366,9.0,2.2685035137818987
51.21098,4.83637,9.0,2.2916724597597846
51.21107,4.83633,9.0,2.3020680117719836
51.21115,4.83624,9.0,2.312965999439975
51.21126,4.83594,9.0,2.337240157313261
51.21078,4.83549,9.0,2.399211972606243
51.21075,4.83539,9.0,2.406956035914142
51.21081,4.83526,9.0,2.4182291071046587
51.21107,4.83491,9.0,2.456108777358213
51.21238,4.83319,10.0,2.64501872975212
51.21294,4.83242,11.0,2.7273438599887974
51.21387,4.83308,13.0,2.8406391625632055
51.21402,4.8333,13.0,2.863328278956914
51.2141,4.83328,13.0,2.8723375336536936
51.21476,4.83303,17.0,2.947919497442698
51.21523,4.83281,20.0,3.002503524645193
51.21538,4.83274,20.0,3.0198934362402436
51.21554,4.8326,21.0,3.0402292561993436
51.21564,4.83244,23.0,3.0561274907897826
51.2157,4.83234,23.0,3.065790762851726
51.21606,4.83203,25.0,3.1113676128930314
51.21618,4.83203,26.0,3.1247553555868053
51.21634,4.83257,24.0,3.166521846868468
51.21636,4.83285,24.0,3.186211844568273
51.21684,4.83393,23.0,3.278661575840868
51.21692,4.83414,24.0,3.2958517823258604
51.21732,4.83396,25.0,3.34210674753854
51.21837,4.83349,23.0,3.463466610430236
51.21858,4.83319,21.0,3.49491767315533
51.21881,4.83285,21.0,3.529832560602679
51.21891,4.83276,21.0,3.5426118957848414
51.2192,4.83237,21.0,3.5848419717382627
51.21947,4.83201,21.0,3.6240199782141254
51.21976,4.83165,21.0,3.6649288182581405
51.21985,4.83154,21.0,3.677550942766978
51.22058,4.83183,19.0,3.7612785357906597
51.22075,4.83187,18.0,3.78042299852084
51.22102,4.83191,18.0,3.810590972939166
51.22127,4.83198,17.0,3.8388485530847536
51.22174,4.83278,16.0,3.9153917783680705
51.22217,4.83223,15.0,3.9767592751568976
51.22242,4.83244,15.0,4.008204657332417
51.22287,4.83195,14.0,4.068861177273642
51.22333,4.8315,15.0,4.128930436204333
51.22345,4.83164,15.0,4.145480008441744
51.2235,4.83159,15.0,4.152048421721627
51.2236,4.83147,15.0,4.165978600816238
51.2238,4.83136,15.0,4.18951878443086
51.22431,4.83118,15.0,4.247634440399824
51.22472,4.83106,15.0,4.294012034447957
51.22502,4.83096,15.0,4.328111138458497
51.22507,4.83088,15.0,4.335996291034462
51.22569,4.83171,15.0,4.426105373957899
51.22545,4.83217,14.0,4.467896904941164
51.22541,4.83229,14.0,4.477387730006825
51.22547,4.8324,14.0,4.487566437251291
51.22622,4.83336,15.0,4.594620242130703
51.22637,4.83332,15.0,4.611540488999819
51.22659,4.83361,15.0,4.643312292116353
51.22671,4.83339,15.0,4.663669407393143
51.22677,4.83335,15.0,4.670905809572717
51.22697,4.83365,14.0,4.701487867690989
51.22718,4.83405,14.0,4.737910136340307
51.22725,4.83408,14.0,4.745974871899614
51.22788,4.83319,13.0,4.839669131866451
51.22824,4.83264,13.0,4.895167976329623
51.22833,4.83241,13.0,4.914098803880884
51.22839,4.83213,12.0,4.934789442456972
51.22856,4.83155,14.0,4.979545691830722
51.22865,4.83089,14.0,5.0267230006811126
51.22869,4.83081,14.0,5.033866617216996
51.22908,4.83049,14.0,5.082674529252236
51.22947,4.83023,15.0,5.129721400798812
51.22987,4.83004,16.0,5.176170201262567
51.22968,4.82882,15.0,5.263976073342801
51.23009,4.82845,15.0,5.3164027423072815
51.23058,4.82803,16.0,5.378317384961168
51.23089,4.8276,15.0,5.424061883948088
