latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
51.18035,5.11314,23.0,0.0
51.18088,5.11281,23.0,0.06331806683863418
51.18116,5.11263,24.0,0.09693022884059013
51.18127,5.11256,25.0,0.11014840755639173
51.18127,5.11256,25.0,0.11014840755639173
51.1814,5.11255,25.0,0.12462808477172357
51.18144,5.11268,25.0,0.13474901309140602
51.18152,5.11282,24.0,0.14801716961578343
51.18164,5.11292,25.0,0.16312089681837527
51.18173,5.11299,25.0,0.1742659232281749
51.18182,5.11312,25.0,0.1877893380778397
51.1819,5.1133,26.0,0.20323682613684513
51.18199,5.1135,26.0,0.22043634701877715
51.1821,5.1137,26.0,0.23901942793920852
51.18212,5.11375,26.0,0.24316355883063415
51.18215,5.11382,26.0,0.24908778042364108
51.18217,5.11393,26.0,0.25709465295923367
51.18217,5.11407,26.0,0.26688383375783054
51.18218,5.11418,26.0,0.27465537496282866
51.18221,5.11427,26.0,0.28177869723862164
51.18227,5.11432,26.0,0.2893139697348854
51.18234,5.11433,26.0,0.29713295251347144
51.18241,5.11433,26.0,0.3049206079557956
51.18245,5.11435,26.0,0.3095852562429732
51.18256,5.11463,26.0,0.3326735449996014
51.18256,5.11463,26.0,0.3326735449996014
51.18223,5.11488,25.0,0.3733482596441885
51.18223,5.11488,25.0,0.3733482596441885
51.18215,5.11494,25.0,0.3831876795426689
51.18215,5.11494,25.0,0.3831876795426689
51.18229,5.11527,25.0,0.41102688464921144
51.18239,5.11552,25.0,0.43174746271248293
51.18244,5.11563,25.0,0.4412396250814623
51.1825,5.11572,25.0,0.45041346165816654
51.18258,5.11585,25.0,0.4631350594155154
51.18307,5.11671,26.0,0.5443056868637186
51.18313,5.1168,26.0,0.5534794665613502
51.18321,5.11667,26.0,0.5662009784529836
51.18324,5.1166,26.0,0.5721251050266013
51.18329,5.11651,26.0,0.5805241042108915
51.18337,5.11632,26.0,0.5965148506298651
51.18342,5.11622,26.0,0.6054497221087336
51.18347,5.11614,26.0,0.6133384306102819
51.18351,5.11612,26.0,0.6180030700537195
51.18355,5.11614,27.0,0.6227736949025544
51.18359,5.11617,27.0,0.6276933806441083
51.18371,5.11636,27.0,0.6465273431334017
51.18382,5.11658,27.0,0.6661839675778582
51.18387,5.11666,27.0,0.6740726432558907
51.18389,5.11672,27.0,0.6788213906933415
51.18395,5.11688,27.0,0.6918487151956856
51.18395,5.11688,27.0,0.6918487151956856
51.18408,5.11729,27.0,0.7239575827701121
51.18418,5.11752,27.0,0.7435122958705086
51.18428,5.1177,27.0,0.7603101011986378
51.18428,5.1177,27.0,0.7603101011986378
51.18446,5.11819,27.0,0.7999938433560773
51.18449,5.11826,27.0,0.8059178618905136
51.18465,5.11871,27.0,0.8420677000197665
51.18479,5.11909,27.0,0.8728656133982174
51.18488,5.11918,27.0,0.884691522788771
51.18512,5.11932,27.0,0.913129801262057
51.18524,5.11947,27.0,0.930106910887006
51.18534,5.11972,27.0,0.950826557171849
51.18541,5.11989,27.0,0.9650366101116488
51.1854,5.1199,27.0,0.9663505955464963
51.18534,5.11996,27.0,0.9742345098180513
51.18503,5.12025,26.0,1.0142540488105662
51.18488,5.12038,26.0,1.0332567149175982
51.18473,5.12052,26.0,1.0526035787496952
51.18435,5.12086,25.0,1.101115226435398
51.18416,5.12105,25.0,1.1260811142539542
51.18398,5.12125,24.0,1.1505263178447698
51.18373,5.12152,25.0,1.1841560907678412
51.18335,5.12201,25.0,1.2385718137838815
51.18316,5.12233,24.0,1.2693685774500287
51.18309,5.1225,24.0,1.2835791061165278
51.183,5.12265,24.0,1.298079333247168
51.18273,5.1231,24.0,1.3415801026374015
51.18249,5.12347,24.0,1.378758518097908
51.18213,5.12399,24.0,1.4328518888435156
51.18187,5.12439,24.0,1.4730882348673777
51.18122,5.12536,24.0,1.5722328716716476
51.18112,5.12551,24.0,1.5875227974676176
51.18103,5.12564,24.0,1.6010463018441572
51.18103,5.12564,24.0,1.6010463018441572
51.18103,5.12557,24.0,1.6059410114382482
51.18088,5.12514,24.0,1.6403291061899559
51.18078,5.12486,24.0,1.6628480904509906
51.18075,5.1248,24.0,1.6682091975432984
51.18071,5.12475,24.0,1.6738684367025236
51.18066,5.12473,24.0,1.6796041496702478
51.18062,5.12473,24.0,1.684054235772778
51.18058,5.12475,24.0,1.68871889786031
51.18054,5.12479,24.0,1.6939749900122216
51.1805,5.12484,24.0,1.6996342388583634
51.18047,5.12488,24.0,1.7039888457337826
51.18047,5.12488,24.0,1.7039888457337826
51.18044,5.12492,24.0,1.708343453762347
51.18041,5.12497,24.0,1.7131770051195663
51.18041,5.12497,24.0,1.7131770051195663
51.18034,5.12507,24.0,1.7236432906286099
51.18034,5.12507,24.0,1.7236432906286099
51.18026,5.12513,24.0,1.7334827795206107
51.18026,5.12513,24.0,1.7334827795206107
51.1802,5.12518,24.0,1.7410181181543474
51.1801,5.12525,24.0,1.753172520151133
51.17997,5.12533,24.0,1.7686794741916911
51.17997,5.12533,24.0,1.7686794741916911
51.1799,5.12538,25.0,1.777274335518492
51.1799,5.12538,25.0,1.777274335518492
51.17982,5.12544,25.0,1.7871138423745048
51.17976,5.12545,25.0,1.7938254978363912
51.17956,5.12541,24.0,1.8162733287693744
51.17944,5.12539,24.0,1.8296966378411446
51.17936,5.12544,24.0,1.8392589312837193
51.17932,5.12552,24.0,1.846407208361976
51.17924,5.12568,24.0,1.8607037738266214
51.17916,5.12581,24.0,1.8734258353787903
51.17907,5.12601,25.0,1.890655090495866
51.17894,5.12633,24.0,1.9173176668034109
51.17891,5.1264,24.0,1.9232421663610595
51.17891,5.1264,24.0,1.9232421663610595
