latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
51.25157,3.2811,4.0,0.0
51.25193,3.28064,4.0,0.05133735855348876
51.2521,3.28038,4.0,0.07755207042829881
51.25231,3.28007,4.0,0.10939954425319848
51.25238,3.28,4.0,0.11859371291736809
51.25238,3.28,4.0,0.11859371291736809
51.25285,3.28058,3.0,0.18473626361467002
51.25334,3.28114,3.0,0.2518206549331638
51.25445,3.28245,4.0,0.4054932897458403
51.25457,3.2826,4.0,0.4224607434080194
51.25501,3.28314,6.0,0.48427854475452964
51.25535,3.28331,6.0,0.5239227737885673
51.25553,3.2833,6.0,0.543960526989514
51.2557,3.2833,6.0,0.5628735831916695
51.25582,3.28324,5.0,0.5769013374454569
51.25599,3.28295,4.0,0.6046244290979281
51.25635,3.28219,2.0,0.6711302874784629
51.25646,3.28197,2.0,0.6907680059052268
51.25657,3.28214,2.0,0.7078152071037529
51.25678,3.28262,3.0,0.7486767747928045
51.2574,3.2839,2.0,0.8615627790200141
51.25758,3.28432,2.0,0.8970685510702331
51.25792,3.28514,2.0,0.9656799911937685
51.2581,3.28546,2.0,0.9956804984242605
51.25853,3.28606,3.0,1.0592718267462704
51.25891,3.28654,3.0,1.1132163456756137
51.25903,3.28665,3.0,1.1286174886809959
51.25967,3.28687,1.0,1.2014843748660722
51.26054,3.28741,1.0,1.3053556412742375
51.261,3.28774,1.0,1.3614774114127792
51.26119,3.28781,1.0,1.383172926125927
51.26177,3.28774,1.0,1.4478845712086745
51.26187,3.28768,2.0,1.4598140843847836
51.26204,3.28751,2.0,1.4821414840998048
51.26223,3.28749,2.0,1.5033256650250075
51.26364,3.2877,3.0,1.6608794155386688
51.26429,3.28788,3.0,1.7342773944220682
51.26457,3.28805,3.0,1.7676116901629715
51.26484,3.28828,3.0,1.8016707436399526
51.26532,3.28908,0.0,1.8789919291515103
51.26558,3.28944,-1.0,1.917320202740966
51.26617,3.29014,-0.0,1.9991526416743708
51.26625,3.29036,0.0,2.016900577494956
51.26641,3.29091,1.0,2.059226007014782
51.26651,3.29108,1.0,2.0754911339023803
51.26744,3.29167,7.0,2.1870116440217258
51.2675,3.29189,8.0,2.203784256671223
51.26709,3.29253,8.0,2.2676266985078226
51.26668,3.29318,8.0,2.3319596730621663
51.26605,3.2942,8.0,2.4318632382082974
51.2654,3.29541,7.0,2.543051228409814
51.26536,3.29545,7.0,2.5483046302834222
51.2651,3.29598,5.0,2.595306086656813
51.2651,3.29598,5.0,2.595306086656813
51.26498,3.29624,5.0,2.617835079561624
51.26498,3.29625,5.0,2.6185330509191265
51.26403,3.29863,5.0,2.8154239411847857
51.26335,3.30068,4.0,2.9772833959993275
51.26264,3.30311,6.0,3.1643994890358154
51.26206,3.3051,5.0,3.3175631820345983
51.2612,3.30781,7.0,3.529556787157535
51.26161,3.30974,3.0,3.6718445732649774
51.26163,3.30979,2.0,3.6761027169832015
51.26163,3.31161,2.0,3.8031426790073266
51.26171,3.31234,1.0,3.854879337827596
51.26192,3.31449,1.0,4.006761070278041
51.26197,3.31529,1.0,4.062878801362149
51.26201,3.31613,1.0,4.12168079751378
51.26202,3.31645,1.0,4.144044993313331
51.26197,3.31673,1.0,4.164365643832785
51.26162,3.31835,1.0,4.283961223634119
51.26149,3.31906,1.0,4.335588078041983
51.26141,3.31954,1.0,4.370255225993078
51.26137,3.3198,1.0,4.388941516378049
51.26137,3.31997,1.0,4.400807951545214
51.26135,3.31999,1.0,4.403434713429007
51.26111,3.32077,1.0,4.464075596910895
51.26086,3.3215,1.0,4.5221283729026895
51.25989,3.32401,0.0,4.7279066583913885
