latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
50.83355,3.6047,13.0,0.0
50.83371,3.60515,14.0,0.03637060750878925
50.8338,3.60538,14.0,0.055417474617394324
50.83418,3.60642,14.0,0.14000427115943062
50.83421,3.60649,15.0,0.1460421599845666
50.83408,3.60659,15.0,0.16212865756935244
50.83364,3.60678,16.0,0.21288361303526546
50.83348,3.60671,16.0,0.23135338318317128
50.83344,3.60708,17.0,0.2578154555788293
50.83326,3.60741,19.0,0.28856355303136566
50.83299,3.60782,20.0,0.33024660920775945
50.83288,3.60793,20.0,0.344731025265397
50.83265,3.60815,24.0,0.37491190419011733
50.83249,3.60828,24.0,0.39492922401308994
50.83224,3.60923,34.0,0.4680923699335595
50.83209,3.60958,35.0,0.49788264752112094
50.83196,3.61041,44.0,0.558787669485836
50.83192,3.61076,50.0,0.584552353632815
50.83192,3.61103,51.0,0.6036005401277192
50.8318,3.61125,47.0,0.6244437521918442
50.83155,3.61184,51.0,0.6746160797548425
50.83146,3.6122,51.0,0.7018835280897305
50.83139,3.61256,55.0,0.7287147462579765
50.83123,3.61351,59.0,0.7980864335422895
50.83117,3.61401,60.0,0.8339535420271496
50.83113,3.61425,61.0,0.8514665222553811
50.83106,3.61494,62.0,0.9007089553821542
50.83108,3.61554,62.0,0.9430392431534826
50.83116,3.61649,64.0,1.0105882093986491
50.83123,3.61687,65.0,1.038487749753654
50.83126,3.6171,65.0,1.0550319901397147
50.83132,3.61734,65.0,1.0732104010226862
50.83134,3.61753,66.0,1.0868168388897967
50.83131,3.61782,66.0,1.1075188800889113
50.83121,3.61843,67.0,1.1519227939138375
50.83121,3.61871,67.0,1.1716495787896533
50.83142,3.61946,68.0,1.2294317631679068
50.83155,3.62012,69.0,1.2781377016761615
50.83148,3.6202,69.0,1.2877505941048522
50.83071,3.62064,69.0,1.37884684180817
50.83044,3.62078,70.0,1.4104772023214294
50.83016,3.62092,70.0,1.4431505465353094
50.83007,3.6209,70.0,1.4532613783616137
50.83003,3.62087,70.0,1.4581876980508677
50.82955,3.62044,68.0,1.5196140088681414
50.82878,3.61987,69.0,1.614225726023562
50.82874,3.61984,69.0,1.6191520690411907
50.82766,3.61946,66.0,1.7422815236015203
50.82745,3.61943,63.0,1.7659296959874546
50.82734,3.61915,62.0,1.7891666220994042
50.82726,3.61879,59.0,1.816214593277452
50.82719,3.6187,59.0,1.826257136613754
