latitude[deg],longitude[deg],elevation[m],cumulativedistance[km]
51.10742,3.98675,5.0,0.0
51.10716,3.98707,5.0,0.03659144751852443
51.10707,3.98686,5.0,0.05438366742997984
51.10685,3.98711,5.0,0.08447680613421679
51.10649,3.98752,5.0,0.13375729891736493
51.10557,3.98851,6.0,0.25738679428917094
51.10546,3.98866,6.0,0.2735152939783864
51.10518,3.98894,6.0,0.31032445511880774
51.10509,3.989,6.0,0.32118311611047434
51.1041,3.98937,6.0,0.4343287106414059
51.10389,3.98943,5.0,0.45808729838137674
51.10396,3.98974,6.0,0.4811759253134931
51.10408,3.99012,5.0,0.5109686409442497
51.10407,3.99026,5.0,0.5208372288216546
51.10405,3.99049,5.0,0.537099497722805
51.10401,3.99115,6.0,0.5835507849882458
51.10398,3.9913,6.0,0.5945742706438124
51.10431,3.9913,6.0,0.6312868944351524
51.10446,3.99145,5.0,0.6510315365926971
51.10502,3.99135,5.0,0.7137242089024056
51.10527,3.9913,5.0,0.7417564052905676
51.10544,3.99128,5.0,0.7607207737059225
51.10585,3.99129,5.0,0.8063388089816099
51.10638,3.9913,6.0,0.8653141613533167
51.10675,3.99157,6.0,0.9106126175059809
51.10684,3.99208,6.0,0.9477080267406996
51.10695,3.99208,6.0,0.9599455737918315
51.10708,3.9921,6.0,0.9744758025477535
51.10717,3.99225,6.0,0.988988358568348
51.1071,3.99244,6.0,1.0044064456866584
51.10701,3.99281,6.0,1.0321868815306943
51.10706,3.99315,6.0,1.0566402289598262
51.10761,3.99422,6.0,1.1533855969327895
51.10765,3.99446,6.0,1.1707731404199262
51.10773,3.99454,7.0,1.181337331047463
51.10822,3.99478,7.0,1.2383825537828355
51.10832,3.9948,7.0,1.249595429989312
51.10847,3.9949,7.0,1.2676930191154032
51.10858,3.99442,7.0,1.3034674574289857
51.10859,3.99349,6.0,1.368616042146769
51.10859,3.9934,6.0,1.374919080543631
51.10885,3.99336,6.0,1.4039795365612224
51.10887,3.9938,7.0,1.434890618740409
51.10887,3.99422,8.0,1.4643216208958632
51.10922,3.99436,8.0,1.5044747461754782
51.1093,3.9944,8.0,1.5138052373358832
51.10957,3.99577,9.0,1.6143468427984928
51.1097,3.99647,9.0,1.6654582531240258
51.10979,3.9967,9.0,1.6844239726288612
51.10997,3.99708,9.0,1.7177287528798884
51.10997,3.99708,9.0,1.7177287528798884
51.11008,3.99727,9.0,1.7358065769880215
51.11026,3.99751,10.0,1.7619694887423183
51.11027,3.99788,10.0,1.7879049310689528
51.1103,3.99838,11.0,1.8230934651554305
51.11045,3.99863,11.0,1.8472801950451687
51.11066,3.99872,11.0,1.8714780695969429
51.11052,3.99883,11.0,1.8888540689252786
51.11013,3.99905,9.0,1.9349394847308827
51.10993,3.99901,9.0,1.9573652375729014
51.10986,3.99901,9.0,1.9651527751979676
51.10967,3.99907,9.0,1.9867039780405555
51.10938,3.99915,8.0,2.01946474241507
51.1093,3.99915,5.0,2.028856796938987
51.1092,3.99905,4.0,2.0420405928246197
51.10905,3.99869,4.0,2.0722748854412076
51.10895,3.99855,3.0,2.087137504748111
51.10887,3.99847,3.0,2.0976541764027123
51.10866,3.9984,3.0,2.1215255693568715
51.10861,3.99836,3.0,2.127753664974716
51.10854,3.99827,3.0,2.137772341635648
51.1084,3.99793,3.0,2.166225308100352
51.10836,3.99789,3.0,2.171483660653355
51.10828,3.99786,3.0,2.1806283244227704
51.10824,3.99788,3.0,2.185293574688776
51.10783,3.99797,3.0,2.2313396844016014
51.10764,3.99797,4.0,2.25250090177329
51.10755,3.99795,4.0,2.2626109394794334
51.1074,3.998,4.0,2.2796619535164204
51.10715,3.9983,2.0,2.3145759993150996
51.10711,3.99808,4.0,2.330737873694466
51.10641,3.9986,3.0,2.4167140288577307
51.10598,3.99884,4.0,2.467428750042633
51.10554,3.99904,3.0,2.518353508473212
51.10479,3.99963,4.0,2.611468743724295
51.10439,3.99987,4.0,2.659037886205711
51.10419,3.99992,5.0,2.681584054816784
51.10362,3.99994,6.0,2.745020113954339
51.10355,4.00002,6.0,2.7546139969274637
51.10346,4.00022,6.0,2.7718326777313247
51.10338,4.00058,6.0,2.7985722558791646
51.10333,4.00084,5.0,2.817639926003021
51.10332,4.00094,5.0,2.824731898164752
51.1031,4.00172,6.0,2.8846047470492593
51.10289,4.00261,6.0,2.9511763829317337
51.10282,4.00288,6.0,2.9716284898627414
51.10278,4.00316,6.0,2.9917389188823598
51.1028,4.00331,6.0,3.0024783160132693
51.10295,4.00392,6.0,3.0483474089946396
51.10297,4.00401,5.0,3.0551067429820478
51.10301,4.00439,5.0,3.0820922248577918
51.10314,4.00566,3.0,3.172235877874239
51.10314,4.00581,3.0,3.182742172366856
51.10312,4.00593,3.0,3.19143672846953
51.10308,4.0061,2.0,3.204187519093694
51.10303,4.00622,2.0,3.2142665282131726
51.10297,4.00633,2.0,3.2244605116901313
51.10306,4.00645,2.0,3.23753321798292
51.10314,4.00666,2.0,3.254725072768981
51.10338,4.00762,2.0,3.3270723240170597
51.10346,4.00771,2.0,3.337978630591132
51.1038,4.00785,3.0,3.3770668843593987
51.10391,4.00785,3.0,3.3893044192531376
51.10406,4.00776,3.0,3.407142872338398
51.10432,4.00755,3.0,3.439592831497007
51.10445,4.00746,3.0,3.455369415508071
51.10458,4.00749,3.0,3.469983797929828
51.1048,4.00768,3.0,3.4978427195544453
51.10521,4.00826,4.0,3.5589305048539916
51.10573,4.00908,5.0,3.6404536693914933
51.10576,4.00923,5.0,3.6514767755529665
51.10572,4.01088,4.0,3.7671295298026997
51.10575,4.01112,4.0,3.784266796817661
51.10577,4.0113,4.0,3.797068481880908
51.10587,4.01242,3.0,3.8763022333817347
51.106,4.01301,4.0,3.9200937307343504
51.10634,4.01411,4.0,4.0059195824812175
51.10651,4.01459,4.0,4.044492101617705
51.10669,4.01517,4.0,4.0897811117086995
51.10706,4.01642,4.0,4.18652077566531
51.10711,4.01672,4.0,4.208255436950284
51.10711,4.01725,4.0,4.245374503557253
51.10692,4.01803,4.0,4.303949534807672
51.10665,4.01918,4.0,4.389910346585124
51.10607,4.02157,5.0,4.56930790046159
51.10518,4.02152,4.0,4.668387691683049
51.10449,4.02146,4.0,4.745265378398552
51.10408,4.02143,4.0,4.790926390801362
51.10402,4.02143,4.0,4.797601411105963
51.10381,4.02141,4.0,4.821005940304411
51.10374,4.02135,4.0,4.82985501917789
51.10365,4.02026,3.0,4.9068601104083465
51.10357,4.01987,3.0,4.935589522966772
51.10347,4.01958,4.0,4.9587702015395925
51.10336,4.01934,4.0,4.9795628087159844
51.10327,4.01903,4.0,5.003473100882218
51.10323,4.01865,4.0,5.030458431308834
51.10321,4.01823,4.0,5.059960034197711
51.10323,4.01764,5.0,5.101356667062719
51.10323,4.01724,5.0,5.129373406741412
51.10316,4.01685,6.0,5.15779572513331
51.10316,4.01671,6.0,5.167601600364539
51.10318,4.01655,5.0,5.179070734295005
51.10329,4.01632,5.0,5.19930133720546
51.1034,4.01599,5.0,5.225454786317752
51.1034,4.01578,5.0,5.240163520700221
51.10329,4.01559,5.0,5.258242735789318
51.10321,4.0154,5.0,5.2742524797334225
51.10307,4.01516,6.0,5.297190676118661
51.10266,4.01432,6.0,5.371636254499468
51.10258,4.01427,6.0,5.381200535491203
51.10248,4.0143,6.0,5.392522275650404
51.10146,4.0151,6.0,5.519078884831093
51.10134,4.01524,6.0,5.535643486402575
51.10125,4.01543,6.0,5.5522978295585395
51.10123,4.01558,6.0,5.563037570284939
51.10123,4.01577,5.0,5.576383613928949
51.10154,4.01741,5.0,5.696322129133872
51.10153,4.01756,5.0,5.706887525523393
51.10147,4.01768,5.0,5.717620909789903
51.1014,4.01792,5.0,5.7361477808082775
51.10142,4.01815,6.0,5.752441678519919
51.10177,4.01988,6.0,5.87972061861385
51.10177,4.02001,6.0,5.8888263472516
51.10173,4.02013,6.0,5.898336948920886
51.10141,4.02062,6.0,5.947787422179237
51.10132,4.02074,6.0,5.960860326866186
51.10116,4.02082,6.0,5.9795215710408405
51.10103,4.02074,6.0,5.995031745374557
51.10081,4.02056,6.0,6.022563450344
51.10038,4.01996,6.0,6.08624037111351
51.10029,4.01984,6.0,6.099313394531947
51.1002,4.01969,7.0,6.113861481951802
51.0999,4.01943,7.0,6.151882250110492
51.09975,4.01936,7.0,6.169275250770269
51.09967,4.01935,7.0,6.178202797974313
51.09956,4.01939,7.0,6.190756993933838
51.09892,4.01996,6.0,6.27239433666508
51.09863,4.02024,6.0,6.310151025294187
51.0985,4.01991,5.0,6.3374369325397355
51.0983,4.0194,5.0,6.379524282242241
51.09814,4.01909,5.0,6.407602681796455
51.09793,4.01877,4.0,6.439995294358218
51.09753,4.01847,3.0,6.489218149521049
51.09728,4.01832,3.0,6.518949402300637
51.09722,4.01814,2.0,6.533251379350388
51.09718,4.01792,2.0,6.549292195320739
51.09717,4.01699,1.0,6.61445676022469
51.09713,4.01652,1.0,6.647680097429258
51.09709,4.01614,1.0,6.674668891860377
51.09711,4.01573,1.0,6.703475886175586
51.0973,4.01472,2.0,6.777324104007722
51.09739,4.01418,2.0,6.816454161171426
51.09743,4.014,2.0,6.829825481868051
51.09752,4.0139,2.0,6.842045188077027
51.09763,4.01385,2.0,6.854774073444175
51.09775,4.01393,1.0,6.869287103247113
51.09791,4.01405,1.0,6.888972166556788
51.0981,4.01411,1.0,6.910523508346093
51.0983,4.01404,1.0,6.933307449055331
51.09842,4.01382,1.0,6.953696571726464
51.09849,4.01363,1.0,6.969116791894132
51.0985,4.01344,1.0,6.9824725095165965
51.09845,4.01291,1.0,7.020012871658725
51.09844,4.01273,1.0,7.0326706821218945
51.09846,4.01261,1.0,7.041366055432739
51.09872,4.01171,0.0,7.110736044449368
51.09887,4.01119,1.0,7.1508143460348546
51.0991,4.01091,1.0,7.183054256522165
51.09923,4.01082,1.0,7.198831107353029
51.09921,4.01076,1.0,7.203586606741182
51.09914,4.01033,2.0,7.234713712867758
51.09896,4.01037,3.0,7.254958538695224
51.09882,4.01056,2.0,7.275469905138987
51.09864,4.01079,2.0,7.301171505418642
51.09857,4.01085,2.0,7.310020798044951
51.09853,4.01084,2.0,7.314525601621063
51.09839,4.01073,3.0,7.331931192841937
51.09823,4.01079,3.0,7.350220699103919
51.09835,4.011,3.0,7.3700856836845645
51.0984,4.01109,3.0,7.378493257392844
51.09844,4.01126,3.0,7.3912059001949215
51.09842,4.01144,2.0,7.404048537238061
51.09833,4.01169,2.0,7.4242210617588205
51.09825,4.01188,2.0,7.440231977731504
51.0981,4.01225,2.0,7.47105780784896
51.0981,4.01297,2.0,7.5214934970549265
51.09803,4.01314,2.0,7.535722207499922
51.09792,4.01325,2.0,7.5501835777360276
51.0978,4.01323,2.0,7.563606911525628
51.0976,4.01304,2.0,7.589533881725034
51.09743,4.01299,2.0,7.608768004226111
51.09728,4.01308,2.0,7.626606755366069
51.09718,4.01327,2.0,7.6439536071217695
51.09707,4.01366,2.0,7.6738891068338795
51.097,4.01432,2.0,7.720774152392015
51.09693,4.01467,2.0,7.746499143577626
51.09675,4.0154,2.0,7.8014177503486035
51.09671,4.01572,2.0,7.824271702313171
51.09671,4.01599,2.0,7.843185652860882
51.09677,4.01687,2.0,7.90519141564453
51.09685,4.01811,2.0,7.9925100516762075
51.0969,4.0184,3.0,8.013596473900028
51.09696,4.01859,3.0,8.02848624814359
51.09707,4.01872,3.0,8.04374036679793
51.09764,4.01914,3.0,8.113645815526201
51.09786,4.01934,5.0,8.14191786424402
51.09799,4.0196,5.0,8.165174624559773
51.0983,4.02041,5.0,8.231573677894769
51.09863,4.02128,4.0,8.302727190221702
51.09866,4.02151,3.0,8.319210824625884
51.09861,4.02171,3.0,8.334284468486299
51.09851,4.02186,3.0,8.349587087360595
51.09833,4.02192,4.0,8.370072862443774
51.09814,4.02189,4.0,8.391314612735757
51.09752,4.02158,4.0,8.463627352314452
51.09735,4.02154,4.0,8.482746331256482
51.09703,4.02162,4.0,8.518784788507045
51.09686,4.0218,3.0,8.54153730090337
51.09673,4.02211,3.0,8.567628456810649
51.0967,4.02238,4.0,8.586860631941093
51.09672,4.02365,4.0,8.675854098011603
51.09668,4.02391,4.0,8.694603287170853
51.09632,4.02493,3.0,8.776521204155507
51.09625,4.02522,3.0,8.79827784938808
51.0963,4.02553,3.0,8.820695162041796
51.09636,4.02578,3.0,8.839437177823402
51.09649,4.02605,3.0,8.863246978329874
51.09695,4.02672,4.0,8.932692986104072
51.09735,4.02729,4.0,8.992480854024473
51.09763,4.02767,4.0,9.033455330624038
51.09775,4.02797,3.0,9.058372312134525
51.09775,4.02826,3.0,9.07868684350453
51.09774,4.02862,3.0,9.103929412430208
51.09769,4.02893,3.0,9.126346071994968
51.0976,4.02921,4.0,9.14839062952203
51.09735,4.02971,4.0,9.19311542649871
51.09696,4.0302,4.0,9.248438908804827
51.0965,4.03078,5.0,9.31378938338394
51.09598,4.03144,5.0,9.387845256843935
51.09533,4.03225,4.0,9.479768605187411
51.0952,4.03256,4.0,9.50586035957072
51.09501,4.03317,5.0,9.55354584796307
51.0948,4.03341,6.0,9.58234667080857
51.09462,4.03391,6.0,9.622694142678016
51.09462,4.03412,7.0,9.637439614437046
51.0946,4.03431,7.0,9.650934732072832
51.09443,4.0349,8.0,9.696399638328877
51.09439,4.03511,8.0,9.711769530301467
51.09434,4.03536,7.0,9.730172664514066
51.09432,4.03581,6.0,9.761791795114904
51.0943,4.03585,6.0,9.76536992905105
51.09421,4.03585,6.0,9.775382445780668
51.09417,4.0359,6.0,9.78104566090382
51.09413,4.03596,6.0,9.787166983411767
51.09402,4.03617,5.0,9.806329207494915
51.09411,4.03634,6.0,9.821920420907043
51.0941,4.03651,5.0,9.833923457276248
51.09407,4.03657,5.0,9.839290673233993
51.09277,4.03722,4.0,9.990918665021024
51.09241,4.03739,4.0,10.03270203921854
51.09263,4.03804,4.0,10.084400301239732
51.09267,4.03825,4.0,10.099770717734291
51.09271,4.03879,4.0,10.137862734033519
51.09267,4.03938,3.0,10.179447689766297
51.09282,4.04035,3.0,10.249422564135203
51.09314,4.0411,3.0,10.312890098682624
51.09323,4.04123,3.0,10.326425064175007
51.09407,4.04217,3.0,10.440747106624602
51.09418,4.04241,2.0,10.461566451271857
51.09432,4.04277,2.0,10.49120808495914
51.09434,4.04289,2.0,10.49990418140795
51.09434,4.04295,2.0,10.504107496394537
51.09423,4.04355,2.0,10.547885876899718
51.09423,4.0437,2.0,10.558394189297301
51.09426,4.04382,2.0,10.567439113098505
51.09434,4.04407,2.0,10.587084578786564
51.09438,4.04427,3.0,10.601819297221102
51.09443,4.04482,3.0,10.640749087041945
51.09441,4.04524,3.0,10.670256254094472
51.09411,4.0455,3.0,10.708278058887036
51.09357,4.04601,3.0,10.778174728077026
51.0934,4.04616,2.0,10.799833711417378
51.09245,4.04706,2.0,10.922900263718649
51.09217,4.04731,2.0,10.95863658084785
51.09176,4.04769,3.0,11.011459428845706
51.09211,4.04956,3.0,11.148133443375208
51.09228,4.04991,2.0,11.17911629081135
51.0924,4.0501,2.0,11.1979685421944
51.09274,4.05065,2.0,11.25196332791281
51.09302,4.05112,2.0,11.297290049309906
51.09354,4.05202,2.0,11.38285919051931
51.09374,4.05243,2.0,11.419192083343033
51.09399,4.0532,2.0,11.4798830559923
51.0941,4.05353,2.0,11.506040582242605
51.09436,4.05446,2.0,11.577324382081368
51.09445,4.05508,2.0,11.62189768772874
51.09451,4.05571,2.0,11.666534277859437
51.09458,4.05659,2.0,11.728672543075273
51.09451,4.05671,2.0,11.740131866414902
51.09435,4.05683,2.0,11.759817186664904
51.09467,4.05836,2.0,11.872758775287588
51.09486,4.05875,2.0,11.907302199913596
51.09516,4.05921,2.0,11.953695524759643
51.09524,4.0595,2.0,11.975875147095259
51.09538,4.06023,2.0,12.029333592438583
51.09555,4.06078,3.0,12.07226612725883
51.09559,4.06118,4.0,12.100656254916247
51.09565,4.06276,6.0,12.211559672371934
51.09579,4.06365,6.0,12.275822992377256
51.09582,4.06375,6.0,12.283582714640719
51.09586,4.06382,5.0,12.29027965128974
51.09595,4.06383,5.0,12.300316645752037
51.09639,4.06378,5.0,12.349391891261385
51.09746,4.06365,4.0,12.46878163827655
51.09878,4.06356,1.0,12.615797779416072
51.0989,4.06352,1.0,12.629438672026504
51.09893,4.06348,1.0,12.633796397647044
51.09898,4.06337,1.0,12.643299728690769
51.099,4.06266,2.0,12.693093751950851
51.09902,4.06253,2.0,12.70246790300338
51.09907,4.06245,2.0,12.710363767136817
51.09917,4.06241,2.0,12.72183620594136
51.0996,4.06238,2.0,12.769719932017892
51.09968,4.06251,1.0,12.782492249630678
51.1002,4.06439,2.0,12.926330186048252
51.1002,4.06448,2.0,12.932634361604233
