latitude,longitude,elevation
50.93148,4.25587,77
50.93107,4.25656,77
50.93124,4.25671,78
50.93133,4.25675,78
50.93161,4.25682,78
50.93195,4.25686,77
50.93217,4.25699,76
50.9333,4.2592,73
50.93343,4.25941,73
50.93365,4.25993,72
50.9339,4.26044,72
50.93401,4.26055,72
50.93427,4.26072,71
50.93457,4.26085,72
50.93532,4.26106,73
50.93635,4.26141,72
50.9365,4.26147,72
50.93661,4.26154,72
50.93674,4.26164,73
50.93684,4.26177,72
50.93706,4.26209,71
50.93738,4.2627,71
50.93747,4.26285,71
50.93766,4.26308,68
50.93826,4.26358,68
50.93884,4.26385,64
50.93888,4.26392,64
50.93897,4.26407,65
50.93908,4.26428,65
50.93918,4.26463,65
50.93927,4.26482,65
50.93948,4.26501,63
50.94006,4.26542,62
50.94013,4.26546,61
50.94032,4.26574,59
50.94036,4.26626,59
50.94051,4.26759,59
50.94062,4.26868,58
50.94079,4.2692,56
50.94084,4.26935,56
50.94086,4.26954,56
50.94081,4.27085,55
50.94099,4.2719,54
50.94109,4.27231,53
50.94111,4.2725,53
50.94116,4.27342,54
50.94116,4.27402,54
50.94118,4.2746,54
50.94122,4.27503,53
50.94126,4.27523,53
50.94135,4.27548,53
50.94139,4.27566,53
50.94141,4.27587,53
50.94141,4.276,53
50.94135,4.27615,53
50.9412,4.27639,53
50.94109,4.27647,53
50.94096,4.27656,52
50.94088,4.27664,52
50.9427,4.28072,49
50.94277,4.28098,49
50.94298,4.28173,49
50.94322,4.28261,49
50.94341,4.28334,47
50.94384,4.28287,49
50.94423,4.28252,50
50.94693,4.28014,45
50.94789,4.2793,42
50.94798,4.27894,41
50.94809,4.27872,40
50.9482,4.27834,40
50.9483,4.27778,40
50.94839,4.27746,40
50.94852,4.27711,38
50.94895,4.27613,37
50.94905,4.27608,37
50.94914,4.27613,37
50.94938,4.27645,36
50.94955,4.2766,35
50.94965,4.2766,35
50.94985,4.27626,36
50.94998,4.27606,36
50.95066,4.27521,34
50.9509,4.27486,34
50.95096,4.27471,34
50.95109,4.2745,34
50.95116,4.27433,34
50.95154,4.27347,35
50.95161,4.27338,35
50.95176,4.27312,36
50.95191,4.27295,37
50.95242,4.27261,37
50.95255,4.27248,37
50.95268,4.27233,38
50.95296,4.27177,38
50.95313,4.27147,38
50.95337,4.27113,38
50.9535,4.27104,37
50.9536,4.27094,37
50.95371,4.27074,37
50.95377,4.27074,37
50.95489,4.26956,33
50.95578,4.26867,31
50.95613,4.26836,30
50.95633,4.26821,30
50.95659,4.26808,30
50.95682,4.26802,29
50.95704,4.26797,28
50.95741,4.26797,27
50.9576,4.2666,26
50.9576,4.2666,26
50.95766,4.26609,24
50.95822,4.2627,22
50.95839,4.26162,22
50.95875,4.25952,20
50.95892,4.25855,20
50.95968,4.25883,21
50.95998,4.2589,21
50.96023,4.2589,20
50.96079,4.25894,20
50.9612,4.2589,19
50.96134,4.25885,19
50.96181,4.25881,19
50.96217,4.2587,19
50.96239,4.2587,19
50.96268,4.25873,19
50.96373,4.25862,18
50.96405,4.25866,18
50.96341,4.25626,18
50.96319,4.25561,18
50.96306,4.25522,18
50.96302,4.25446,19
50.96298,4.25355,19
50.96292,4.25282,18
50.9629,4.25262,18
50.96307,4.25269,18
50.96414,4.25274,18
50.9659,4.25334,18
